ref0,PID1,ADPID2,LQG3,Control
0,0,0,0.684931507,231
0,0.001877904,0.000036745,0.685022904,231
0,0.003738071,0.000073303,0.685114234,231
0,0.005580734,0.000109676,0.685206589,231
0,0.007406123,0.000145866,0.685298876,231
0,0.009214465,0.000181874,0.685391482,231
0,0.011005982,0.000217702,0.685484022,231
0,0.012780895,0.000253351,0.685576692,231
0,0.014539421,0.000288824,0.685669295,231
0,0.016281775,0.000324122,0.685761951,231
0,0.018008168,0.000359246,0.68585454,231
0,0.018851367,0.000377226,0.685945232,231
0,0.019687211,0.000395121,0.686035856,231
0,0.020515794,0.000412933,0.686125099,231
0,0.021337212,0.000430663,0.686214274,231
0,0.022151554,0.000448311,0.686302391,231
0,0.022958913,0.000465878,0.686390442,231
0,0.023759378,0.000483364,0.686477652,231
0,0.024553037,0.000500771,0.686564795,231
0,0.025339978,0.000518098,0.686651251,231
0,0.026120286,0.000535348,0.686737639,231
0,0.026004612,0.000535116,0.686822376,231
0,0.025890874,0.000534895,0.686907045,231
0,0.025779044,0.000534686,0.686990323,231
0,0.025669096,0.000534488,0.687073534,231
0,0.025561001,0.000534301,0.687155557,231
0,0.025454733,0.000534124,0.687237511,231
0,0.025350266,0.000533958,0.687318437,231
0,0.025247574,0.000533802,0.687399294,231
0,0.02514663,0.000533657,0.68747925,231
0,0.02504741,0.000533522,0.687559137,231
0,0.025395649,0.000542118,0.687638599,231
0,0.025741353,0.00055068,0.687717992,231
0,0.026084551,0.000559208,0.687797001,231
0,0.026425274,0.000567701,0.687875943,231
0,0.026763554,0.00057616,0.687954534,231
0,0.027099419,0.000584586,0.688033059,231
0,0.027432899,0.000592978,0.688111263,231
0,0.027764023,0.000601337,0.6881894,231
0,0.028092819,0.000609663,0.688267242,231
0,0.028419316,0.000617956,0.688345016,231
0,0.027053973,0.000593157,0.688421441,231
0,0.025702345,0.000568493,0.688497799,231
0,0.024364248,0.000543965,0.688572923,231
0,0.023039502,0.000519569,0.68864798,231
0,0.02172793,0.000495305,0.688721904,231
0,0.020429356,0.000471171,0.68879576,231
0,0.019143609,0.000447167,0.688868572,231
0,0.017870517,0.000423291,0.688941317,231
0,0.016609914,0.000399541,0.689013095,231
0,0.015361633,0.000375917,0.689084805,231
0,0.017982469,0.000427887,0.689157604,231
0,0.020578874,0.000479595,0.689230335,231
0,0.023151169,0.000531045,0.68930407,231
0,0.025699669,0.000582239,0.689377737,231
0,0.028224685,0.000633179,0.689452331,231
0,0.030726524,0.000683868,0.689526859,231
0,0.033205488,0.000734308,0.689602245,231
0,0.035661876,0.000784502,0.689677565,231
0,0.038095981,0.00083445,0.689753682,231
0,0.040508093,0.000884157,0.689829732,231
0,0.040259523,0.000881986,0.689905384,231
0,0.040014454,0.00087984,0.68998097,231
0,0.039772836,0.000877718,0.690056177,231
0,0.03953462,0.00087562,0.690131318,231
0,0.039299758,0.000873546,0.6902061,231
0,0.039068203,0.000871496,0.690280816,231
0,0.038839908,0.000869468,0.69035519,231
0,0.038614828,0.000867463,0.690429497,231
0,0.038392916,0.00086548,0.690503478,231
0,0.038174128,0.000863519,0.690577392,231
0,0.040760094,0.000916401,0.690652038,231
0,0.043322633,0.000969025,0.690726618,231
0,0.045862053,0.001021394,0.690801886,231
0,0.048378651,0.00107351,0.690877089,231
0,0.050872726,0.001125376,0.69095294,231
0,0.053344569,0.001176993,0.691028725,231
0,0.055794467,0.001228364,0.691105123,231
0,0.058222706,0.001279492,0.691181455,231
0,0.060629566,0.001330377,0.691258366,231
0,0.063015321,0.001381023,0.691335212,231
0,0.062909046,0.001383078,0.691411796,231
0,0.062805549,0.001385142,0.691488315,231
0,0.062704787,0.001387218,0.691564583,231
0,0.062606721,0.001389303,0.691640784,231
0,0.062511308,0.001391397,0.691716744,231
0,0.06241851,0.001393501,0.691792637,231
0,0.062328287,0.001395615,0.691868296,231
0,0.062240599,0.001397737,0.691943889,231
0,0.062155409,0.001399868,0.692019255,231
0,0.062072678,0.001402007,0.692094555,231
0,0.062971828,0.001423319,0.692169921,231
0,0.063864112,0.001444542,0.692245222,231
0,0.064749617,0.001465676,0.692320582,231
0,0.065628425,0.001486722,0.692395878,231
0,0.06650062,0.00150768,0.692471228,231
0,0.067366283,0.001528551,0.692546513,231
0,0.068225496,0.001549337,0.692621848,231
0,0.069078338,0.001570036,0.692697117,231
0,0.069924887,0.001590651,0.692772433,231
0,0.070765221,0.001611181,0.692847683,231
0,0.067863052,0.001558518,0.692921991,231
0,0.064990109,0.001506143,0.692996233,231
0,0.062146003,0.001454055,0.693069568,231
0,0.059330351,0.001402249,0.693142837,231
0,0.056542772,0.001350724,0.69321523,231
0,0.053782895,0.001299476,0.693287557,231
0,0.051050351,0.001248502,0.693359037,231
0,0.048344777,0.001197801,0.693430453,231
0,0.045665815,0.001147369,0.69350105,231
0,0.043013112,0.001097203,0.693571581,231
0,0.041587271,0.0010708,0.693641609,231
0,0.040175655,0.001044539,0.693711572,231
0,0.038778076,0.001018419,0.693781046,231
0,0.037394347,0.000992438,0.693850455,231
0,0.036024283,0.000966594,0.693919391,231
0,0.034667705,0.000940887,0.693988261,231
0,0.033324432,0.000915314,0.694056672,231
0,0.031994288,0.000889876,0.694125017,231
0,0.0306771,0.00086457,0.694192916,231
0,0.029372696,0.000839394,0.694260749,231
0,0.031219707,0.000875766,0.694328839,231
0,0.03304952,0.000911954,0.694396864,231
0,0.034862361,0.000947959,0.694465136,231
0,0.036658451,0.000983785,0.694533343,231
0,0.03843801,0.001019431,0.694601787,231
0,0.040201252,0.0010549,0.694670166,231
0,0.041948392,0.001090194,0.694738773,231
0,0.043679638,0.001125314,0.694807314,231
0,0.045395198,0.001160262,0.694876075,231
0,0.047095275,0.001195038,0.69494477,231
0,0.045741519,0.00117019,0.695013057,231
0,0.04440138,0.001145477,0.69508128,231
0,0.043074675,0.001120897,0.695149104,231
0,0.041761227,0.001096449,0.695216864,231
0,0.040460858,0.001072132,0.695284236,231
0,0.039173395,0.001047944,0.695351543,231
0,0.037898666,0.001023885,0.695418471,231
0,0.036636503,0.000999952,0.695485334,231
0,0.035386738,0.000976144,0.695551828,231
0,0.034149207,0.000952461,0.695618257,231
0,0.034884466,0.000967267,0.695684696,231
0,0.035613119,0.000982,0.69575107,231
0,0.036335251,0.00099666,0.695817453,231
0,0.037050946,0.001011248,0.69588377,231
0,0.037760288,0.001025764,0.695950094,231
0,0.038463359,0.001040211,0.696016354,231
0,0.03916024,0.001054587,0.696082618,231
0,0.039851011,0.001068894,0.696148817,231
0,0.040535751,0.001083132,0.696215019,231
0,0.041214537,0.001097301,0.696281157,231
0,0.04037639,0.001081837,0.696347028,231
