ref0,PID1,ADPID2,LQG3,Control
1,1.033123179,1.01155835,0.46136139,231
1,1.031503125,1.011514579,0.461399457,231
1,1.031912524,1.011510402,0.461437535,231
1,1.032317338,1.01150619,0.461475612,231
1,1.032717629,1.011501943,0.461513699,231
1,1.033113459,1.011497662,0.461551786,231
1,1.033504887,1.011493348,0.461589883,231
1,1.033891972,1.011489001,0.46162798,231
1,1.034274775,1.011484621,0.461666086,231
1,1.034653352,1.011480209,0.461704193,231
1,1.03502776,1.011475765,0.46174231,231
1,1.035398056,1.01147129,0.461780426,231
1,1.033927122,1.011430838,0.461818527,231
1,1.032469537,1.011390541,0.461856629,231
1,1.031025128,1.011350398,0.461894715,231
1,1.029593723,1.011310409,0.461932802,231
1,1.028175154,1.01127057,0.461970874,231
1,1.026769253,1.011230883,0.462008945,231
1,1.025375855,1.011191344,0.462047002,231
1,1.023994799,1.011151952,0.462085058,231
1,1.022625925,1.011112708,0.462123101,231
1,1.021269074,1.011073608,0.462161142,231
1,1.020243658,1.011040905,0.462199174,231
1,1.019226939,1.011008312,0.462237205,231
1,1.018218805,1.010975829,0.462275225,231
1,1.017219145,1.010943455,0.462313246,231
1,1.016227852,1.010911188,0.462351256,231
1,1.015244819,1.010879028,0.462389266,231
1,1.014269939,1.010846974,0.462427266,231
1,1.01330311,1.010815025,0.462465265,231
1,1.012344227,1.01078318,0.462503254,231
1,1.011393191,1.010751439,0.462541242,231
1,1.012351427,1.010757007,0.462579246,231
1,1.013299351,1.010762483,0.46261725,231
1,1.014237103,1.01076787,0.462655269,231
1,1.015164818,1.010773169,0.462693287,231
1,1.016082632,1.010778379,0.462731321,231
1,1.016990679,1.010783504,0.462769355,231
1,1.017889089,1.010788542,0.462807403,231
1,1.018777992,1.010793496,0.462845452,231
1,1.019657516,1.010798366,0.462883515,231
1,1.020527787,1.010803154,0.462921578,231
1,1.023590549,1.010850937,0.462959686,231
1,1.02662351,1.010898416,0.462997794,231
1,1.029627063,1.010945594,0.463035946,231
1,1.032601597,1.010992475,0.463074098,231
1,1.035547495,1.01103906,0.463112295,231
1,1.038465134,1.011085353,0.463150491,231
1,1.041354886,1.011131358,0.463188732,231
1,1.044217119,1.011177075,0.463226973,231
1,1.047052193,1.01122251,0.463265258,231
1,1.049860467,1.011267663,0.463303543,231
1,1.052219786,1.011304272,0.463341867,231
1,1.054556993,1.011340649,0.46338019,231
1,1.056872378,1.011376795,0.463418553,231
1,1.059166227,1.011412712,0.463456915,231
1,1.061438822,1.011448405,0.463495315,231
1,1.06369044,1.011483873,0.463533716,231
1,1.065921355,1.01151912,0.463572155,231
1,1.068131837,1.011554147,0.463610594,231
