SensorA,Control
0.041018,11
0.0348182,11
0.0286184,11
0.0224186,11
0.0162188,11
0.010019,11
0.0038192,11
-0.0023806,11
-0.0085804,11
-0.0147802,11
-0.02098,11
-0.0178559,11
-0.0147318,11
-0.0116077,11
-0.0084836,11
-0.0053595,11
-0.0022354,11
0.0008887,11
0.0040128,11
0.0071369,11
0.010261,11
0.0099711,11
0.0096812,11
0.0093913,11
0.0091014,11
0.0088115,11
0.0085216,11
0.0082317,11
0.0079418,11
0.0076519,11
0.007362,11
0.0354141,11
0.0634662,11
0.0915183,11
0.1195704,11
0.1476225,11
0.1756746,11
0.2037267,11
0.2317788,11
0.2598309,11
0.287883,11
0.2943405,11
0.300798,11
0.3072555,11
0.313713,11
0.3201705,11
0.326628,11
0.3330855,11
0.339543,11
0.3460005,11
0.352458,11
0.3511053,11
0.3497526,11
0.3483999,11
0.3470472,11
0.3456945,11
0.3443418,11
0.3429891,11
0.3416364,11
0.3402837,11
0.338931,11
0.3128274,11
0.2867238,11
0.2606202,11
0.2345166,11
0.208413,11
0.1823094,11
0.1562058,11
0.1301022,11
0.1039986,11
0.077895,11
0.0985879,11
0.1192808,11
0.1399737,11
0.1606666,11
0.1813595,11
0.2020524,11
0.2227453,11
0.2434382,11
0.2641311,11
0.284824,11
0.2652583,11
0.2456926,11
0.2261269,11
0.2065612,11
0.1869955,11
0.1674298,11
0.1478641,11
0.1282984,11
0.1087327,11
0.089167,11
0.0921462,11
0.0951254,11
0.0981046,11
0.1010838,11
0.104063,11
0.1070422,11
0.1100214,11
0.1130006,11
0.1159798,11
0.118959,11
0.1369143,11
0.1548696,11
0.1728249,11
0.1907802,11
0.2087355,11
0.2266908,11
0.2446461,11
0.2626014,11
0.2805567,11
0.298512,11
0.2724567,11
0.2464014,11
0.2203461,11
0.1942908,11
0.1682355,11
0.1421802,11
0.1161249,11
0.0900696,11
0.0640143,11
0.037959,11
0.0623556,11
0.0867522,11
0.1111488,11
0.1355454,11
0.159942,11
0.1843386,11
0.2087352,11
0.2331318,11
0.2575284,11
0.281925,11
0.2599922,11
0.2380594,11
0.2161266,11
0.1941938,11
0.172261,11
0.1503282,11
0.1283954,11
0.1064626,11
0.0845298,11
0.062597,11
0.0668,11
0.071003,11
0.075206,11
0.079409,11
0.083612,11
0.087815,11
0.092018,11
0.096221,11
0.100424,11
0.104627,11
0.1125981,11
0.1205692,11
0.1285403,11
0.1365114,11
0.1444825,11
0.1524536,11
0.1604247,11
0.1683958,11
0.1763669,11
0.184338,11
0.1497642,11
0.1151904,11
0.0806166,11
0.0460428,11
0.011469,11
-0.0231048,11
-0.0576786,11
-0.0922524,11
-0.1268262,11
-0.1614,11
-0.147438,11
-0.133476,11
-0.119514,11
-0.105552,11
-0.09159,11
-0.077628,11
-0.063666,11
-0.049704,11
-0.035742,11
-0.02178,11
-0.019816,11
-0.017852,11
-0.015888,11
-0.013924,11
-0.01196,11
-0.009996,11
-0.008032,11
-0.006068,11
-0.004104,11
-0.00214,11
-0.004539,11
-0.006938,11
-0.009337,11
-0.011736,11
-0.014135,11
-0.016534,11
-0.018933,11
-0.021332,11
-0.023731,11
-0.02613,11
-0.0224265,11
-0.018723,11
-0.0150195,11
-0.011316,11
-0.0076125,11
-0.003909,11
-0.0002055,11
0.003498,11
0.0072015,11
0.010905,11
0.0081835,11
0.005462,11
0.0027405,11
1.9E-05,11
-0.0027025,11
-0.005424,11
-0.0081455,11
-0.010867,11
-0.0135885,11
-0.01631,11
-0.049225,11
-0.08214,11
-0.115055,11
-0.14797,11
-0.180885,11
-0.2138,11
-0.246715,11
-0.27963,11
-0.312545,11
-0.34546,11
-0.329614,11
-0.313768,11
-0.297922,11
-0.282076,11
-0.26623,11
-0.250384,11
-0.234538,11
-0.218692,11
-0.202846,11
-0.187,11
-0.191091,11
-0.195182,11
-0.199273,11
-0.203364,11
-0.207455,11
-0.211546,11
-0.215637,11
-0.219728,11
-0.223819,11
-0.22791,11
-0.223691,11
-0.219472,11
-0.215253,11
-0.211034,11
-0.206815,11
-0.202596,11
-0.198377,11
-0.194158,11
-0.189939,11
-0.18572,11
-0.1671042,11
-0.1484884,11
-0.1298726,11
-0.1112568,11
-0.092641,11
-0.0740252,11
-0.0554094,11
-0.0367936,11
-0.0181778,11
0.000438,11
-0.0226868,11
-0.0458116,11
-0.0689364,11
-0.0920612,11
-0.115186,11
-0.1383108,11
-0.1614356,11
-0.1845604,11
-0.2076852,11
-0.23081,11
-0.215769,11
-0.200728,11
-0.185687,11
-0.170646,11
-0.155605,11
-0.140564,11
-0.125523,11
-0.110482,11
-0.095441,11
-0.0804,11
-0.099048,11
-0.117696,11
-0.136344,11
-0.154992,11
-0.17364,11
-0.192288,11
-0.210936,11
-0.229584,11
-0.248232,11
-0.26688,11
