Input,Case1LNoise,Case1HPF(1),Case1Kal(3),Case1HPFKal(13),Case1LPFKal(23),Case1EKF(4),Control
-0.28230257,-0.546954536,-0.266525218,-0.3316355,-0.410596776,10.24905302,-0.160141685,1
-0.285775086,-0.55065596,-0.26222307,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.289165195,-0.554274711,-0.25784933,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.292471917,-0.557809811,-0.253405255,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.295694301,-0.561260307,-0.248892121,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.298831416,-0.564625269,-0.244311226,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.301882358,-0.567903792,-0.239663886,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.304846248,-0.571094997,-0.234951437,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.30772223,-0.574198027,-0.230175232,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.310509475,-0.577212055,-0.225336645,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.31320718,-0.580136275,-0.220437066,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.315814566,-0.58296991,-0.215477903,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.318330882,-0.585712208,-0.210460582,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.320755403,-0.588362442,-0.205386546,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.323087428,-0.590919913,-0.200257252,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.325326285,-0.59338395,-0.195074175,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.327471329,-0.595753904,-0.189838805,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.329521942,-0.598029159,-0.184552648,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.331477531,-0.600209122,-0.179217222,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.333337534,-0.60229323,-0.173834062,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.335101413,-0.604280945,-0.168404716,-0.296929285,-0.345076562,10.11289499,-0.197289325,1
-0.33676866,-0.606171759,-0.162930745,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.338338794,-0.607965191,-0.157413722,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.339811363,-0.609660787,-0.151855233,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.341185941,-0.611258124,-0.146256877,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.342462133,-0.612756804,-0.140620264,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.343639571,-0.614156459,-0.134947015,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.344717914,-0.615456749,-0.12923876,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.345696852,-0.616657364,-0.123497141,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.346576103,-0.61775802,-0.117723809,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.347355413,-0.618758464,-0.111920425,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.348034557,-0.619658471,-0.106088656,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.34861334,-0.620457845,-0.10023018,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.349091594,-0.621156419,-0.094346683,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.349469182,-0.621754054,-0.088439854,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.349745995,-0.622250642,-0.082511395,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.349921953,-0.622646103,-0.076563008,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.349997005,-0.622940385,-0.070596405,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.349971129,-0.623133466,-0.064613301,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.349844334,-0.623225355,-0.058615418,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.349616655,-0.623216086,-0.05260448,-0.229930015,-0.176816751,9.946585679,-0.236184235,1
-0.349288159,-0.623105727,-0.046582216,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.34885894,-0.62289437,-0.040550357,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.348329121,-0.622582141,-0.034510638,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.347698856,-0.62216919,-0.028464797,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.346968327,-0.621655701,-0.022414571,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.346137743,-0.621041883,-0.016361701,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.345207345,-0.620327975,-0.010307928,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.3441774,-0.619514246,-0.004254992,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.343048207,-0.618600993,0.001795366,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.34182009,-0.61758854,0.007841405,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.340493403,-0.616477242,0.013881388,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.339068529,-0.615267481,0.019913577,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
-0.33754588,-0.613959668,0.025936238,-0.138256115,-0.101958414,9.759028736,-0.272990111,1
