Input,Case1_LNoise,Case1_HPF(1),Case1_LPF(2),Case1_Kal(3),Case1_HPF_Kal(13),Case1_LPF_Kal(23),Case1_EKF(4),Case1_Label
-0.294035713,-0.294035713,-1.905645457,-6.65E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.290769525,-0.290419525,-1.690025304,-6.82E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.287419489,-0.286719489,-1.4957715,-6.99E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.28398657,-0.282936572,-1.320721676,-7.16E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.280471759,-0.279071763,-1.162933055,-7.33E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.27687607,-0.275126077,-1.020660163,-7.49E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.273200539,-0.271100551,-0.892334801,-7.65E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.269446226,-0.266996246,-0.77654806,-7.81E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.265614214,-0.262814243,-0.672034147,-7.96E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.261705607,-0.25855565,-0.577655865,-8.12E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.257721533,-0.254221592,-0.492391556,-8.27E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.253663142,-0.249813219,-0.415323377,-8.42E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.249531602,-0.245331703,-0.345626761,-8.56E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.245328106,-0.240778234,-0.282560952,-8.71E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.241053865,-0.236154025,-0.225460491,-8.85E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.236710112,-0.231460309,-0.173727581,-8.98E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.2322981,-0.226698339,-0.126825211,-9.12E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.227819102,-0.221869388,-0.08427099,-9.25E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.223274407,-0.216974748,-0.045631599,-9.38E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.218665328,-0.212015728,-0.010517809,-9.51E-08,-1.739937156,-1.521944394,-0.174189237,-0.267329472,1
-0.213993194,-0.20699366,0.021419993,-9.63E-08,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.20925935,-0.201909891,0.050495831,-9.75E-08,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.204465164,-0.196765785,0.07699175,-9.87E-08,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.199612016,-0.191562726,0.101161066,-9.98E-08,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.194701307,-0.186302114,0.123231284,-1.01E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.189734453,-0.180985365,0.143406719,-1.02E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.184712886,-0.175613911,0.161870851,-1.03E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.179638054,-0.170189202,0.178788445,-1.04E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.17451142,-0.1647127,0.194307449,-1.05E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.169334463,-0.159185885,0.208560706,-1.06E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.164108675,-0.15361025,0.221667489,-1.07E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.158835564,-0.147987302,0.23373488,-1.08E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.15351665,-0.142318562,0.24485901,-1.09E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.148153468,-0.136605564,0.255126173,-1.10E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.142747562,-0.130849855,0.264613828,-1.10E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.137300493,-0.125052994,0.273391497,-1.11E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.131813832,-0.119216553,0.281521575,-1.12E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.126289159,-0.113342114,0.289060052,-1.12E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.120728069,-0.10743127,0.296057172,-1.13E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.115132165,-0.101485625,0.302558013,-1.14E-07,-0.708511798,-0.8649386,-0.233958537,-0.238432096,1
-0.109503061,-0.095506794,0.308603019,-1.14E-07,-0.179084863,-0.242226227,-0.282852811,-0.191497952,1
