Input,Case2LGNoise,Case2HPF(1),Case2LPF(2),Case2Kal(3),Case2HPFKal(13),Case2LPFKal(23),Case2EKF(4),Control
-0.294035713,-0.257196648,-1.666891479,-0.190778689,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.290769525,-0.25358046,-1.47550065,-0.195715679,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.287419489,-0.266897097,-1.413302372,-0.200590869,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.28398657,-0.263114179,-1.246621712,-0.205402849,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.280471759,-0.27669752,-1.209434388,-0.210150228,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.27687607,-0.272751834,-1.062442429,-0.21483163,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.273200539,-0.259981765,-0.873203517,-0.219445698,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.269446226,-0.255877459,-0.759358264,-0.223991092,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.265614214,-0.284839904,-0.871397973,-0.228466491,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.261705607,-0.28058131,-0.756787774,-0.23287059,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.257721533,-0.200584857,-0.162976749,-0.237202106,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.253663142,-0.196176484,-0.11933837,-0.241459773,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.249531602,-0.243464068,-0.41519456,-0.245642346,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.245328106,-0.238910599,-0.345068844,-0.2497486,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.241053865,-0.179325625,0.074575786,-0.253777327,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.236710112,-0.17463191,0.0958603,-0.257727345,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.2322981,-0.218347759,-0.1987805,-0.26159749,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.227819102,-0.213518808,-0.148924084,-0.265386618,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.223274407,-0.189410018,0.020803361,-0.26909361,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.218665328,-0.184450999,0.049175173,-0.272717366,-0.234831723,-1.521944394,-0.174189237,-0.233836372,13
-0.213993194,-0.25272562,-0.399980654,-0.27625681,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.20925935,-0.24764185,-0.328140073,-0.279710889,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.204465164,-0.21893858,-0.110532335,-0.283078572,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.199612016,-0.213735521,-0.067332627,-0.28635885,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.194701307,-0.146900699,0.370899183,-0.28955074,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.189734453,-0.14158395,0.365940689,-0.292653282,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.184712886,-0.195820138,-0.024495578,-0.295665538,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
