Input,Case3_HNoise,Case3_HPF(1),Case3_LPF(2),Case3_Kal(3),Case3_HPF_Kal(13),Case3_LPF_Kal(23),Case3_EKF(4),Case3_Label
-0.294035713,-0.294035713,-1.905645457,-0.190778689,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.290769525,-0.206622426,-1.177557523,-0.194941748,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.287419489,-0.196489746,-1.001125173,-0.198209411,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.28398657,-0.269874569,-1.353778348,-0.202066375,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.280471759,-0.356152009,-1.744792071,-0.207402878,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.27687607,-0.372768497,-1.664606829,-0.213694932,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.273200539,-0.301142089,-1.051653206,-0.219484817,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.269446226,-0.203747566,-0.34746529,-0.223720052,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.265614214,-0.166678389,-0.089394698,-0.22671981,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.261705607,-0.220493759,-0.415366689,-0.229880255,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.257721533,-0.312123645,-0.935989462,-0.234389721,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.253663142,-0.353662162,-1.091586352,-0.240134981,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.249531602,-0.303188894,-0.665885983,-0.245804182,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.245328106,-0.203311402,0.015923993,-0.250091816,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.241053865,-0.141993129,0.3868783,-0.252897868,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.236710112,-0.171681328,0.160132964,-0.255418664,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.2322981,-0.261088432,-0.406742408,-0.259045882,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.227819102,-0.323958851,-0.748061567,-0.264085985,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.223274407,-0.298373132,-0.509651595,-0.269477406,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.218665328,-0.203677607,0.125934789,-0.273765519,-0.26846739,-1.739937156,-0.174189237,-1.069317888,23234
-0.213993194,-0.122698669,0.607628007,-0.276439006,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.20925935,-0.125593787,0.522825384,-0.278398972,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.204465164,-0.205350295,-0.022964811,-0.281129502,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
-0.199612016,-0.284234057,-0.502858583,-0.285332253,-0.183107328,-0.365236835,-0.234065228,-0.792238614,23234
