Input,Case4_HGNoise,Case4_HPF(1),Case4_LPF(2),Case4_Kal(3),Case4_HPF_Kal(13),Case4_LPF_Kal(23),Case4_EKF(4),Control
-0.294035713,-0.257196648,-1.666891479,-0.190778689,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.290769525,-0.169783362,-0.963032868,-0.194319392,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.287419489,-0.176667354,-0.918656045,-0.196964698,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.28398657,-0.250052177,-1.279678384,-0.200486784,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.280471759,-0.353777766,-1.791293404,-0.205488408,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.27687607,-0.370394254,-1.706389095,-0.211740352,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.273200539,-0.290023302,-1.032521922,-0.217490128,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.269446226,-0.192628779,-0.330275494,-0.221537523,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.265614214,-0.188704049,-0.288758524,-0.22434944,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.261705607,-0.242519419,-0.594498598,-0.227881985,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.257721533,-0.25848691,-0.606574656,-0.232763552,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.253663142,-0.300025428,-0.795601346,-0.237602676,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.249531602,-0.301321259,-0.735453782,-0.242365742,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.245328106,-0.201443768,-0.046583899,-0.246621824,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.241053865,-0.08516473,0.686914578,-0.249396325,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.236710112,-0.114852929,0.429720844,-0.250957066,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.2322981,-0.252737852,-0.478697696,-0.25362423,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.227819102,-0.315608271,-0.812714661,-0.258523258,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.223274407,-0.270808402,-0.443216635,-0.263773605,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.218665328,-0.176112878,0.185627771,-0.267596041,-0.234831723,-1.521944394,-0.174189237,-0.935345486,23234
-0.213993194,-0.168430628,0.18622736,-0.269803852,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.20925935,-0.171325746,0.144189479,-0.272536411,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.204465164,-0.22752309,-0.210488896,-0.276039532,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.199612016,-0.306406852,-0.671352277,-0.280616869,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.194701307,-0.245857729,-0.205101793,-0.285939633,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.189734453,-0.163568214,0.324662237,-0.289479649,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.184712886,-0.128663268,0.484374498,-0.291395185,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.179638054,-0.104206687,0.580284272,-0.293227274,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.17451142,-0.129163424,0.377130618,-0.295427108,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.169334463,-0.217440434,-0.202513062,-0.298385778,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.164108675,-0.274296974,-0.536288091,-0.302418887,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.158835564,-0.210624465,-0.086257671,-0.306624418,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.15351665,-0.102661281,0.587995136,-0.309319171,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.148153468,-0.05244958,0.832199112,-0.310507585,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.142747562,-0.132509123,0.23815842,-0.311625659,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.137300493,-0.22278859,-0.34119912,-0.314618976,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.131813832,-0.27116687,-0.598741899,-0.318924069,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.126289159,-0.230818126,-0.284984733,-0.323292829,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.120728069,-0.059956365,0.819031998,-0.326378665,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.115132165,0.012382219,1.176677271,-0.326681579,-0.195948199,-0.521663637,-0.230179778,-0.810043161,23234
-0.109503061,-0.036410994,0.741250002,-0.32647537,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.10384238,-0.121123896,0.143566272,-0.327760033,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.098151754,-0.215068753,-0.453107688,-0.330482914,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.092432824,-0.200875142,-0.314541654,-0.334133749,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.08668724,-0.109113924,0.284215843,-0.33682522,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.080916658,-0.020023183,0.800295288,-0.337847838,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.075122743,0.042306542,1.114039297,-0.337956536,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.069307165,-0.029699402,0.555282377,-0.337769527,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.063471601,-0.142075061,-0.199505525,-0.339025965,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.057617733,-0.154770993,-0.252027075,-0.341668706,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.051747251,-0.061747131,0.35504811,-0.343745356,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.045861847,0.037398676,0.927148413,-0.343919008,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.039963217,0.071243692,1.034779612,-0.342839976,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.034053064,0.018083602,0.598805523,-0.341976841,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.028133091,-0.060098252,0.061814159,-0.342440581,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.022205005,-0.098266778,-0.174288547,-0.343900723,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.016270516,-0.055761136,0.105535315,-0.34522628,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.010331335,0.045949621,0.720228848,-0.345315869,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
-0.004389174,0.052479907,0.664469491,-0.343906904,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
0.001554251,0.022809869,0.409695903,-0.343142922,-0.112906155,0.135706097,-0.280303401,-0.591866209,23234
0.007497229,-0.011123995,0.176705615,-0.34347662,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.013438045,-0.071313894,-0.207285719,-0.3442728,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.019374985,-0.018962344,0.148669687,-0.345369679,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.025306339,0.07762265,0.728967887,-0.344919086,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.031230395,0.146274669,1.069423152,-0.342836487,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.037145445,0.142869983,0.934629024,-0.340256856,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
