t,r,y0,y1,y2,label
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,1,1.42978E-14,1.44096E-12,3.0033E-09,2
5,1,0.001763035,0.001383849,0.002044767,2
6,1,0.003532118,0.002764035,0.004085248,2
7,1,0.005307385,0.00414049,0.006121364,2
8,1,0.007088867,0.005513214,0.012206013,2
9,1,0.014272548,0.010969834,0.018252782,2
10,1,0.021554173,0.016368865,0.02426103,2
11,1,0.028936042,0.021709923,0.030230692,2
12,1,0.036419425,0.026993289,0.059512152,2
13,1,0.049820753,0.052576038,0.087864878,2
14,1,0.063541874,0.076807714,0.115317094,2
15,1,0.077586389,0.099757305,0.141897395,2
16,1,0.091957925,0.121493209,0.262619112,2
17,1,0.131214512,0.210916927,0.365322609,2
18,1,0.172806552,0.279767926,0.452731912,2
19,1,0.216796443,0.332936009,0.527136999,2
20,1,0.263244313,0.374081682,0.590468734,2
21,1,0.31220784,0.405962125,0.676300625,2
22,1,0.449645107,0.435045949,0.74173001,2
23,1,0.604825212,0.456541295,0.791679843,2
24,1,0.778452624,0.472534738,0.829815881,2
25,1,0.971062578,0.484518395,0.85891214,2
26,1,1.182990085,0.493573517,0.889488263,2
27,1,1.41433882,0.503446304,0.910018917,2
28,1,1.978779653,0.51023486,0.923883097,2
29,1,2.625856752,0.515168073,0.933245078,2
30,1,3.341017119,0.518943473,0.939542361,2
31,1,4.10014701,0.521983512,0.945417352,2
32,1,4.868157417,0.526155211,0.948563306,2
33,1,5.597928174,0.529773288,0.95032471,2
34,1,6.430145484,0.533182142,0.951310566,2
35,1,6.877916172,0.536480022,0.951836798,2
36,1,6.705985583,0.539707725,0.95232395,2
37,1,5.652850298,0.549849182,0.952409479,2
38,1,3.454380938,0.559926088,0.952403887,2
39,1,-0.121169754,0.57001956,0.952398003,2
40,1,-5.226487991,0.580123364,0.952410771,2
41,1,-11.87765792,0.606714313,0.952419849,2
42,1,-19.88837289,0.633220514,0.952427608,2
43,1,-28.80097232,0.659584841,0.952458389,2
44,1,-37.82224497,0.685749834,0.95248908,2
45,1,-45.77497743,0.750963657,0.952519853,2
46,1,-51.07916527,0.813568059,0.952550601,2
47,1,-51.77924255,0.872625774,0.952704276,2
48,1,-45.63505291,0.927241848,0.952857858,2
49,1,-30.29388014,0.976577615,0.953011348,2
50,1,-3.557900086,1.060314036,0.953164744,2
51,1,36.244872,1.110948288,0.953930296,2
52,1,89.78837751,1.124527436,0.954693428,2
53,1,156.1921024,1.099610387,0.955454075,2
54,1,232.4168931,1.037502119,0.956212169,2
55,1,312.6729011,0.942280822,0.959530736,2
56,1,387.9258018,0.806054741,0.962792531,2
57,1,445.6141917,0.649723934,0.965992143,2
58,1,469.7149339,0.488178983,0.969124431,2
59,1,441.3096051,0.337617736,0.972184531,2
60,1,339.8083938,0.214172641,0.983640781,2
61,1,144.9712149,0.132475059,0.99361731,2
62,1,-160.1774914,0.104260172,1.001937539,2
63,1,-585.5203983,0.155628779,1.008500662,2
64,1,-1129.200442,0.306228069,1.013279999,2
65,1,-1772.406115,0.545718595,1.016317592,2
66,1,-2474.033472,0.850158635,1.017848037,2
67,1,-3165.8932,1.184345325,1.016359903,2
68,1,-3749.36827,1.505919168,1.012519896,2
69,1,-4094.652126,1.770767563,1.00706659,2
70,1,-4038.590971,1.939082938,1.00073852,2
71,1,-3385.982172,1.981022179,0.994216427,2
72,1,-1945.366176,1.879703856,0.9880893,2
73,1,454.5627563,1.639634248,0.981941592,2
74,1,3931.190394,1.285406697,0.977536584,2
75,1,8505.785918,0.859769963,0.975137262,2
76,1,14054.82107,0.418939678,0.97477869,2
77,1,20258.58084,0.025614979,0.976294015,2
78,1,26553.02292,-0.259482151,0.979362636,2
79,1,32093.2231,-0.386454258,0.983566691,2
80,1,35739.07381,-0.322660011,0.990294595,2
81,1,36075.83114,-0.059671272,0.99715327,2
82,1,31483.1744,0.380197968,1.003211224,2
83,1,20266.09239,0.946927856,1.0078205,2
84,1,858.5167788,1.567909779,1.010651313,2
85,1,-27894.44891,2.156772368,1.011678169,2
86,1,-66378.1656,2.624917416,1.01111841,2
87,1,-113788.3317,2.894297595,1.009080018,2
88,1,-167679.0086,2.909671262,1.006206114,2
89,1,-223527.4273,2.648502211,1.003159815,2
90,1,-274384.9488,2.126867634,1.000471632,2
91,1,-310704.3704,1.400190856,0.998500762,2
92,1,-320451.7591,0.558279404,0.99739698,2
93,1,-289622.2696,-0.285059277,0.997116444,2
94,1,-203279.1889,-1.006738354,0.997544505,2
95,1,-47218.30683,-1.491642599,0.998419264,2
96,1,189679.9809,-1.650090155,0.999399283,2
97,1,512415.7959,-1.432969234,1.000211404,2
98,1,916255.7678,-0.842151364,1.000695894,2
99,1,1382774.499,0.065717805,1.000814537,2
100,1,1875946.227,1.183132329,1.000628,2
101,1,2338861.929,2.363386553,1.000167363,2
102,1,2691832.304,3.438895583,0.999678421,2
103,1,2832802.969,4.244028623,0.999352003,2
104,1,2641122.284,4.639477202,0.999272974,2
105,1,1985723.744,4.534538744,0.999418613,2
106,1,738666.7937,3.904280138,0.999696705,2
107,1,-1205327.418,2.798976327,0.999996292,2
108,1,-3903252.098,1.34242976,1.000260846,2
109,1,-7332824.002,-0.28028026,1.000344934,2
110,1,-11357947.13,-1.84499207,1.000271666,2
111,1,-15693818.12,-3.118144882,1.00012624,2
112,1,-19876426.11,-3.890204925,0.999996394,2
113,1,-23242838.62,-4.008242535,0.999929876,2
114,1,-24930181.38,-3.402825774,0.999925803,2
115,1,-23902341.35,-2.104841687,0.99997083,2
116,1,-19013802.28,-0.248980046,1.000014612,2
117,1,-9119256.047,1.937694171,1.000023113,2
118,1,6764717.145,4.161596864,1.000000998,2
119,1,29243961.47,6.100277013,0.999976865,2
120,1,58281810.83,7.447296592,0.999973725,2
121,1,92898876.99,7.958347734,0.9999985,2
122,1,130863147.3,7.491957721,1.000026242,2
123,1,168409507.6,6.038393787,1.000020747,2
124,1,200042246,3.731596816,0.999991116,2
125,1,218487841.7,0.841043862,0.999975578,2
126,1,214826606.2,-2.256870989,0.999996488,2
127,1,178927151.6,-5.125383621,1.000024711,2
128,1,100510832.6,-7.326453915,1.000006439,2
129,1,-29568202.11,-8.484760767,0.999979489,2
130,1,-217484457.7,-8.347624928,0.999992072,2
131,1,-464147600.8,-6.831766509,1.000011259,2
132,1,-762562603.6,-4.049005048,1.00000414,2
133,1,-1095052948,-0.305461653,0.999995725,2
134,1,-1430675673,3.927733918,0.99999843,2
135,1,-1723286662,8.070218141,1.000000534,2
136,1,-1910840928,11.50860186,1.000000018,2
137,1,-1916616161,13.68359054,0.999999982,2
138,1,-1653103072,14.17613912,1.000000001,2
139,1,-1029282114,12.77995781,1,2
140,1,38131322.01,9.548670444,1,2
141,1,1609176827,4.808702748,1,2
142,1,3701041576,-0.866719275,1,2
143,1,6265184682,-6.721758604,1,2
144,1,9162881646,-11.91399799,1,2
145,1,12141906625,-15.63080062,1,2
146,1,14818204857,-17.21059599,1,2
147,1,16667536414,-16.25173637,1,2
148,1,17033032625,-12.692004,1,2
149,1,15155181325,-6.844793513,1,2
150,1,10230681014,0.616781087,1,2
151,1,1505577723,8.729683712,1,2
152,1,-11594185951,16.35874478,1,2
153,1,-29295497912,22.34903418,1,2
154,1,-51280308856,25.69328133,1,2
155,1,-76470897891,25.69104501,1,2
156,1,-1.02821E+11,22.07568377,1,2
157,1,-1.27142E+11,15.08797939,1,2
158,1,-1.45016E+11,5.48138436,1,2
159,1,-1.5083E+11,-5.547329207,1,2
160,1,-1.38009E+11,-16.49782242,1,2
161,1,-99483958272,-25.76151118,1,2
162,1,-28466248182,-31.84830879,1,2
163,1,80459939597,-33.6141179,1,2
164,1,2.29912E+11,-30.45584357,1,2
165,1,4.18004E+11,-22.44280077,1,2
166,1,6.36465E+11,-10.36021393,1,2
167,1,8.68769E+11,4.348569641,1,2
168,1,1.08855E+12,19.74077688,1,2
169,1,1.25863E+12,33.61864545,1,2
170,1,1.33117E+12,43.83067191,1,2
171,1,1.24936E+12,48.59012336,1,2
172,1,9.51212E+11,46.76558317,1,2
173,1,3.75858E+11,38.09878535,1,2
174,1,-5.27228E+11,23.312062,1,2
175,1,-1.78616E+12,4.080875321,1,2
176,1,-3.39194E+12,-17.13530954,1,2
177,1,-5.28206E+12,-37.39036413,1,2
178,1,-7.32385E+12,-53.64376841,1,2
179,1,-9.29981E+12,-63.19798829,1,2
180,1,-1.08981E+13,-64.12055758,1,2
181,1,-1.17117E+13,-55.58788239,1,2
182,1,-1.1251E+13,-38.09421575,1,2
183,1,-8.97366E+12,-13.48446797,1,2
184,1,-4.33652E+12,15.20800219,1,2
185,1,3.12757E+12,44.11043775,1,2
186,1,1.37073E+13,69.01040555,1,2
187,1,2.73869E+13,85.94508756,1,2
188,1,4.3703E+13,91.80105825,1,2
189,1,6.15969E+13,84.83762132,1,2
190,1,7.92814E+13,65.05102993,1,2
191,1,9.41464E+13,34.31360171,1,2
192,1,1.02737E+14,-3.750585615,1,2
193,1,1.00834E+14,-44.15624341,1,2
194,1,8.36759E+13,-81.17775859,1,2
195,1,4.64206E+13,-109.1279407,1,2
196,1,-1.52284E+13,-123.1932722,1,2
197,1,-1.04149E+14,-120.2079498,1,2
198,1,-2.20712E+14,-99.24857287,1,2
199,1,-3.61535E+14,-61.94815042,1,2
200,1,-5.18166E+14,-12.4610893,1,2
201,1,-6.75872E+14,42.9435576,1,2
202,1,-8.12729E+14,96.63072012,1,2
203,1,-8.9931E+14,140.6075463,1,2
204,1,-8.99291E+14,167.6644237,1,2
205,1,-7.71323E+14,172.4924178,1,2
206,1,-4.72515E+14,152.6117372,1,2
207,1,3.61984E+13,108.9602888,1,2
208,1,7.82676E+14,46.02908798,1,2
209,1,1.77425E+15,-28.51144229,1,2
210,1,2.98689E+15,-104.680215,1,2
211,1,4.35363E+15,-171.4616382,1,2
212,1,5.75362E+15,-218.3349561,1,2
213,1,7.00356E+15,-236.8531872,1,2
214,1,7.85397E+15,-222.0445761,1,2
215,1,7.99309E+15,-173.4173309,1,2
216,1,7.06148E+15,-95.38897867,1,2
217,1,4.6804E+15,2.96838941,1,2
218,1,4.96462E+14,108.8842801,1,2
219,1,-5.75595E+15,207.4634126,1,2
220,1,-1.4175E+16,283.6957811,1,2
221,1,-2.45977E+16,324.6438599,1,2
222,1,-3.64977E+16,321.5010357,1,2
223,1,-4.88876E+16,271.2097937,1,2
224,1,-6.02386E+16,177.3677515,1,2
225,1,-6.84398E+16,50.23215246,1,2
226,1,-7.08203E+16,-94.24975935,1,2
227,1,-6.42621E+16,-236.3203141,1,2
228,1,-4.54299E+16,-354.9985002,1,2
229,1,-1.1142E+16,-431.0524429,1,2
230,1,4.11038E+16,-449.9530702,1,2
231,1,1.12449E+17,-404.3752669,1,2
232,1,2.01865E+17,-295.8444332,1,2
233,1,3.05258E+17,-135.2193369,1,2
234,1,4.14594E+17,58.15223123,1,2
235,1,5.17155E+17,258.5873258,1,2
236,1,5.95114E+17,437.3205419,1,2
237,1,6.25635E+17,566.4672415,1,2
238,1,5.81721E+17,623.1740697,1,2
239,1,4.34078E+17,593.364375,1,2
240,1,1.54179E+17,474.4981611,1,2
241,1,-2.81307E+17,276.8641027,1,2
242,1,-8.8472E+17,23.09746184,1,2
243,1,-1.6504E+18,-254.1470838,1,2
244,1,-2.5469E+18,-516.1743671,1,2
245,1,-3.50913E+18,-723.4289623,1,2
246,1,-4.43161E+18,-841.2145521,1,2
247,1,-5.1641E+18,-845.1585475,1,2
248,1,-5.51167E+18,-725.6020206,1,2
249,1,-5.24107E+18,-490.1868549,1,2
250,1,-4.09563E+18,-164.1177257,1,2
251,1,-1.82056E+18,212.1249164,1,2
252,1,1.79988E+18,587.4895564,1,2
253,1,6.89304E+18,906.9804727,1,2
254,1,1.34376E+19,1119.390398,1,2
255,1,2.11954E+19,1185.095713,1,2
256,1,2.96422E+19,1082.778513,1,2
257,1,3.79053E+19,814.0063335,1,2
258,1,4.47213E+19,404.8284854,1,2
259,1,4.84297E+19,-96.08258664,1,2
260,1,4.70188E+19,-622.7485752,1,2
261,1,3.8245E+19,-1100.159074,1,2
262,1,1.98406E+19,-1454.52702,1,2
263,1,-1.01747E+19,-1624.18327,1,2
264,1,-5.30749E+19,-1569.567123,1,2
265,1,-1.08909E+20,-1280.778817,1,2
266,1,-1.75911E+20,-781.3943443,1,2
267,1,-2.4988E+20,-127.6862309,1,2
268,1,-3.23619E+20,597.0022151,1,2
269,1,-3.86528E+20,1292.292614,1,2
270,1,-4.24487E+20,1854.100514,1,2
271,1,-4.20181E+20,2189.570014,1,2
272,1,-3.5404E+20,2231.556786,1,2
273,1,-2.05948E+20,1950.504211,1,2
274,1,4.21588E+19,1361.766881,1,2
275,1,4.0274E+20,526.9466519,1,2
276,1,8.78204E+20,-451.4318997,1,2
277,1,1.45576E+21,-1441.658864,1,2
278,1,2.10201E+21,-2299.783317,1,2
279,1,2.75778E+21,-2889.700577,1,2
280,1,3.33435E+21,-3103.693821,1,2
281,1,3.71187E+21,-2880.46055,1,2
282,1,3.74157E+21,-2217.785488,1,2
283,1,3.25315E+21,-1177.578483,1,2
284,1,2.06869E+21,118.0688951,1,2
285,1,2.43329E+19,1499.947489,1,2
286,1,-2.99968E+21,2772.731442,1,2
287,1,-7.04091E+21,3741.475999,1,2
288,1,-1.20102E+22,4240.173435,1,2
289,1,-1.76436E+22,4158.352812,1,2
290,1,-2.34569E+22,3461.675267,1,2
291,1,-2.8709E+22,2203.032197,1,2
292,1,-3.23846E+22,521.7647308,1,2
293,1,-3.3208E+22,-1369.828915,1,2
294,1,-2.97002E+22,-3211.738009,1,2
295,1,-2.02919E+22,-4730.479378,1,2
296,1,-3.50436E+21,-5678.040377,1,2
297,1,2.17979E+22,-5870.201574,1,2
298,1,5.60811E+22,-5218.582038,1,2
299,1,9.87561E+22,-3751.217391,1,2
300,1,1.47759E+23,-1617.744696,1,2
301,1,1.9914E+23,922.7924937,1,2
302,1,2.46724E+23,3531.120991,1,2
303,1,2.81928E+23,5830.982132,1,2
304,1,2.93834E+23,7461.237727,1,2
305,1,2.69622E+23,8129.920285,1,2
306,1,1.9549E+23,7662.473658,1,2
307,1,5.81481E+22,6036.661781,1,2
308,1,-1.53049E+23,3397.973861,1,2
309,1,-4.43319E+23,51.71593326,1,2
310,1,-8.09125E+23,-3568.913869,1,2
311,1,-1.23449E+24,-6956.010844,1,2
312,1,-1.68735E+24,-9595.323693,1,2
