t,r,y0,y1,y2,label
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,1,3.13212E-20,1.44093E-12,3.0033E-09,1
5,1,3.86221E-09,0.001383817,0.002044767,1
6,1,1.66481E-08,0.002763934,0.004085248,1
7,1,4.36928E-08,0.004140283,0.006121364,1
8,1,9.03808E-08,0.005512863,0.012206012,1
9,1,5.87462E-07,0.010968564,0.01825278,1
10,1,1.78518E-06,0.0163661,0.024261027,1
11,1,4.01107E-06,0.021705088,0.030230688,1
12,1,7.60413E-06,0.026985814,0.059512135,1
13,1,2.21715E-05,0.052547282,0.087864841,1
14,1,4.8225E-05,0.076744782,0.115317029,1
15,1,8.90464E-05,0.099648297,0.141897295,1
16,1,0.000147942,0.121327203,0.262618749,1
17,1,0.000497506,0.209708672,0.365321871,1
18,1,0.001171957,0.27766267,0.452730725,1
19,1,0.002271005,0.330030414,0.527135317,1
20,1,0.003887975,0.370439371,0.590466534,1
21,1,0.006109984,0.401624493,0.676297348,1
22,1,0.013770625,0.429995903,0.741725781,1
23,1,0.025749588,0.450748806,0.791674782,1
24,1,0.04272358,0.465979534,0.829810098,1
25,1,0.065221721,0.477186407,0.858905735,1
26,1,0.093627556,0.4854549,0.889481174,1
27,1,0.128182065,0.494126367,0.910011241,1
28,1,0.253828469,0.499690884,0.923874925,1
29,1,0.422687237,0.503390383,0.933236485,1
30,1,0.625872442,0.505927887,0.93953341,1
31,1,0.849665695,0.507728302,0.945407956,1
32,1,1.07722135,0.509789725,0.948553521,1
33,1,1.290432271,0.511297169,0.950314583,1
34,1,1.477089596,0.512598063,0.951300128,1
35,1,1.613065615,0.513789589,0.951826068,1
36,1,1.686375968,0.51491183,0.952312674,1
37,1,1.690818532,0.518434753,0.952397664,1
38,1,1.626593689,0.521904398,0.952391545,1
39,1,1.500368659,0.525405203,0.95238514,1
40,1,1.324717854,0.528932138,0.952392783,1
41,1,1.08377301,0.537226036,0.952396736,1
42,1,0.831520114,0.545584391,0.952399371,1
43,1,0.60061956,0.553995685,0.952409625,1
44,1,0.420885094,0.562448919,0.952419895,1
45,1,0.315459635,0.589066772,0.952430171,1
46,1,0.297892586,0.615640057,0.952471318,1
47,1,0.370436739,0.64185134,0.952512539,1
48,1,0.528600587,0.667418078,0.952553835,1
49,1,0.750316877,0.692090519,0.952595206,1
50,1,1.005603608,0.752561268,0.952803177,1
51,1,1.259955143,0.802027387,0.953012996,1
52,1,1.479020691,0.838809247,0.953224641,1
53,1,1.633240776,0.862705101,0.953438086,1
54,1,1.701828773,0.8747377,0.954496368,1
55,1,1.675571456,0.876509365,0.955593565,1
56,1,1.552985119,0.869070355,0.956726936,1
57,1,1.351006853,0.856757712,0.95789376,1
58,1,1.098723104,0.843859561,0.959091341,1
59,1,0.832430611,0.834110005,0.965880296,1
60,1,0.590403159,0.83030184,0.973081467,1
61,1,0.407394442,0.835240338,0.980342006,1
62,1,0.309655523,0.84942798,0.987353387,1
63,1,0.311171961,0.871959467,0.993858929,1
64,1,0.411660201,0.900795771,0.99965723,1
65,1,0.596615028,0.934384898,1.007212321,1
66,1,0.839403038,0.968254708,1.012198934,1
67,1,1.105099132,0.999025897,1.014610028,1
68,1,1.355511407,1.023940538,1.014694311,1
69,1,1.554670788,1.04116605,1.012893541,1
70,1,1.673996979,1.049919595,1.009709827,1
71,1,1.696399585,1.04947367,1.005518908,1
72,1,1.618726028,1.038832186,1.001084103,1
73,1,1.452205245,1.021780199,0.996929579,1
74,1,1.220824458,1.002705696,0.993443493,1
75,1,0.957873737,0.985693461,0.990877556,1
76,1,0.701156302,0.973798766,0.98934928,1
77,1,0.487553759,0.968561218,0.988956704,1
78,1,0.347727547,0.97070453,0.99041755,1
79,1,0.3017177,0.978748772,0.993034116,1
80,1,0.356070704,0.990191394,0.996065779,1
81,1,0.502908104,1.002177621,0.99890395,1
82,1,0.721068406,1.012146732,1.001140589,1
83,1,0.979156745,1.018680137,1.002568456,1
84,1,1.240062825,1.019777648,1.003193199,1
85,1,1.466296956,1.015975244,1.003077553,1
86,1,1.625376934,1.00894031,1.002459546,1
87,1,1.694491749,1.000882278,1.001607006,1
88,1,1.663772502,0.993917375,1.00076977,1
89,1,1.537701521,0.989276485,1.000122488,1
90,1,1.334458483,0.988619472,0.999729244,1
91,1,1.083298901,0.991471766,0.999577775,1
92,1,0.820343006,0.996386524,0.999668837,1
93,1,0.583381177,1.001542532,0.99986294,1
94,1,0.406442961,1.005359672,1.000029489,1
95,1,0.314910185,1.006967428,1.000113941,1
96,1,0.321875954,1.005767195,1.000103776,1
97,1,0.426271825,1.002694133,1.000020227,1
98,1,0.613031041,0.999206017,0.999887011,1
99,1,0.855262974,0.996652677,0.999812216,1
100,1,1.118124957,0.995793393,0.999836571,1
101,1,1.363834044,0.996775643,0.9999306,1
102,1,1.557097791,0.999068849,1.000028865,1
103,1,1.670183471,1.001435523,1.000079604,1
104,1,1.686897606,1.00279093,1.000064129,1
105,1,1.604904781,1.002663414,1.000004393,1
106,1,1.436053692,1.000876881,0.999969574,1
107,1,1.20466496,0.998669462,0.999985217,1
108,1,0.944028113,0.997656708,1.000020836,1
109,1,0.691612298,0.998438872,1.000031071,1
110,1,0.483679729,1.0002765,1.00000404,1
111,1,0.350076256,1.001753679,0.999969333,1
112,1,0.309947427,1.001816057,0.999969736,1
113,1,0.368994938,1.000546775,1.000002002,1
114,1,0.518666622,0.998991571,1.000027518,1
115,1,0.737395029,0.998310702,1.000016393,1
116,1,0.993705229,0.998997367,0.99997705,1
117,1,1.250744025,1.000478963,0.999978518,1
118,1,1.471677538,1.001457563,1.000013385,1
119,1,1.624618056,1.001152079,1.000022095,1
120,1,1.68761454,0.999905058,0.999992101,1
121,1,1.65166798,0.998772075,0.999980816,1
122,1,1.522016763,0.998830565,1.000007025,1
123,1,1.317373185,0.9999596,1.000014783,1
124,1,1.067222684,1.001070668,0.999993637,1
125,1,0.807575617,1.001148235,0.999991559,1
126,1,0.57578351,1.000109977,1.000001833,1
127,1,0.405165871,0.998994619,1.000002689,1
128,1,0.320220564,0.998924685,0.999999169,1
129,1,0.333106329,0.999933796,0.999999804,1
130,1,0.441902494,1.000976245,1.000000029,1
131,1,0.630894928,1.000999856,1.000000001,1
132,1,0.872845701,0.999971464,1,1
133,1,1.132918626,0.998999058,1,1
134,1,1.37369497,0.999098406,1,1
135,1,1.560557162,1.000137521,1,1
136,1,1.666665913,1.001040862,1,1
137,1,1.676815163,1.000729027,1,1
138,1,1.58961116,0.999579798,1,1
139,1,1.41766342,0.998923604,1,1
140,1,1.185761469,0.999508084,1,1
141,1,0.92730099,1.000671738,1,1
142,1,0.679474603,1.001029601,1,1
143,1,0.477919844,1.000162034,1,1
144,1,0.351594486,0.999107459,1,1
145,1,0.318616144,0.999118326,1,1
146,1,0.383663875,1.000182815,1,1
147,1,0.537314435,1.001022369,1,1
148,1,0.757407324,1.000630059,1,1
149,1,1.012240893,0.99948397,1,1
150,1,1.26513855,0.998963592,1,1
151,1,1.480067493,0.99971954,1,1
152,1,1.625547439,1.000833976,1,1
153,1,1.680624266,1.000898804,1,1
154,1,1.637409691,0.999832896,1,1
155,1,1.502210752,0.998977327,1,1
156,1,1.29460857,0.999407156,1,1
157,1,1.04462208,1.000581201,1,1
158,1,0.788367645,1.001023897,1,1
159,1,0.562841544,1.000157652,1,1
160,1,0.400578712,0.999080869,1,1
161,1,0.324959017,0.99919417,1,1
162,1,0.346838482,1.000353148,1,1
163,1,0.462990901,1.001056871,1,1
164,1,0.656583417,1.00039223,1,1
165,1,0.89961592,0.999218225,1,1
166,1,1.156970759,0.999055424,1,1
167,1,1.39148713,1.000116431,1,1
168,1,1.569326906,1.001042712,1,1
169,1,1.664857099,1.000558126,1,1
170,1,1.664344462,0.999312883,1,1
171,1,1.567929697,0.998989542,1,1
172,1,1.389597511,1.000030711,1,1
173,1,1.155148209,1.001034893,1,1
174,1,0.898465057,1.000644082,1,1
175,1,0.656617392,0.999380703,1,1
176,1,0.464507212,0.998949378,1,1
177,1,0.349832343,0.999936909,1,1
178,1,0.329093078,1.001013972,1,1
179,1,0.405218034,1.00072449,1,1
180,1,0.567150806,0.999454077,1,1
181,1,0.791455747,0.998916462,1,1
182,1,1.045709651,0.999841767,1,1
183,1,1.293188501,1.000984997,1,1
184,1,1.498171805,1.000801147,1,1
185,1,1.631098389,0.999533158,1,1
186,1,1.672829466,0.998891039,1,1
187,1,1.617404214,0.999745772,1,1
188,1,1.4728911,1.000947939,1,1
189,1,1.260213409,1.000873389,1,1
190,1,1.010119897,0.999617478,1,1
191,1,0.758739189,0.998873467,1,1
192,1,0.542150346,0.999649634,1,1
193,1,0.391952517,1.000902902,1,1
194,1,0.329830391,1.000940573,1,1
195,1,0.364710349,0.999706512,1,1
196,1,0.491478017,0.998861078,1,1
197,1,0.69172857,0.999574566,1,1
198,1,0.936439016,1.000875926,1,1
199,1,1.190174412,1.000983647,1,1
200,1,1.41621875,0.999743853,1,1
201,1,1.581887823,0.99884774,1,1
202,1,1.663255182,0.99953584,1,1
203,1,1.648607699,1.000867611,1,1
204,1,1.540131626,1.001010639,1,1
205,1,1.353586539,0.99976165,1,1
206,1,1.116015798,0.998834862,1,1
207,1,0.861826126,0.999509128,1,1
208,1,0.62780461,1.000863258,1,1
209,1,0.447794774,1.001034488,1,1
210,1,0.347802239,0.999780908,1,1
211,1,0.342237769,0.998822981,1,1
212,1,0.431840461,0.999482347,1,1
213,1,0.603580368,1.000858419,1,1
214,1,0.832553253,1.00105837,1,1
215,1,1.085591962,0.999800741,1,1
216,1,1.326070723,0.998811411,1,1
217,1,1.519206485,0.999455162,1,1
218,1,1.637089951,1.000853005,1,1
219,1,1.662718617,1.001082298,1,1
220,1,1.592449029,0.999821182,1,1
221,1,1.436514584,0.998800177,1,1
222,1,1.21753529,0.999427576,1,1
223,1,0.967236518,1.000847003,1,1
224,1,0.721852697,1.001106259,1,1
225,1,0.516881869,0.999842235,1,1
226,1,0.381950437,0.998789293,1,1
227,1,0.336531,0.999399595,1,1
228,1,0.387132202,1.0008404,1,1
229,1,0.526366132,1.001130242,1,1
230,1,0.734026893,0.999863905,1,1
231,1,0.980022892,0.998778775,1,1
232,1,1.228737311,0.999371222,1,1
233,1,1.444184917,1.000833185,1,1
234,1,1.595218563,1.001154234,1,1
235,1,1.660032094,0.999886196,1,1
236,1,1.629308684,0.998768636,1,1
237,1,1.506901528,0.999342463,1,1
238,1,1.310654877,1.000825347,1,1
239,1,1.069242502,1.001178224,1,1
240,1,0.817904767,0.999909112,1,1
241,1,0.593303027,0.998758891,1,1
242,1,0.428172547,0.999313324,1,1
243,1,0.34655239,1.000816874,1,1
244,1,0.360286226,1.001202197,1,1
245,1,0.467303479,0.999932656,1,1
246,1,0.651930825,0.998749557,1,1
247,1,0.88718757,0.99928381,1,1
248,1,1.138728638,1.000807753,1,1
249,1,1.369858696,1.001226142,1,1
250,1,1.546885303,0.999956833,1,1
251,1,1.644030256,0.998740648,1,1
252,1,1.64718329,0.999253928,1,1
253,1,1.555951566,1.000797975,1,1
254,1,1.383707217,1.001250044,1,1
255,1,1.155627408,0.999981644,1,1
256,1,0.905014165,0.998732179,1,1
257,1,0.668431944,0.999223683,1,1
258,1,0.480372898,1.000787526,1,1
259,1,0.368228176,1.001273891,1,1
260,1,0.348298371,1.000007094,1,1
261,1,0.423424219,0.998724167,1,1
262,1,0.582581911,0.999193083,1,1
263,1,0.80250064,1.000776396,1,1
264,1,1.051065056,1.001297667,1,1
265,1,1.292005139,1.000033185,1,1
266,1,1.490188631,0.998716627,1,1
267,1,1.616743763,0.999162135,1,1
268,1,1.653265331,1.000764573,1,1
269,1,1.594491373,1.001321359,1,1
270,1,1.44906118,1.000059919,1,1
271,1,1.238245466,0.998709575,1,1
272,1,0.992835333,0.999130846,1,1
273,1,0.748645033,1.000752046,1,1
274,1,0.54057552,1.001344952,1,1
275,1,0.400186189,1.000087299,1,1
276,1,0.348066794,0.998703027,1,1
277,1,0.39181501,0.999099224,1,1
278,1,0.524929455,1.000738804,1,1
279,1,0.727777598,1.001368431,1,1
280,1,0.970491987,1.000115325,1,1
281,1,1.217367312,0.998697,1,1
282,1,1.432112242,0.999067278,1,1
283,1,1.583184327,1.000724836,1,1
284,1,1.648423422,1.001391781,1,1
285,1,1.618302418,1.000144001,1,1
286,1,1.49731834,0.998691509,1,1
287,1,1.303320946,0.999035017,1,1
288,1,1.064879231,1.00071013,1,1
289,1,0.817074314,1.001414985,1,1
290,1,0.596338138,1.000173327,1,1
291,1,0.4350973,0.998686572,1,1
292,1,0.357009506,0.999002449,1,1
293,1,0.373492464,1.000694676,1,1
294,1,0.482054507,1.001438029,1,1
295,1,0.66667097,1.000203304,1,1
296,1,0.90014953,0.998682205,1,1
297,1,1.14813535,0.998969583,1,1
298,1,1.374166146,1.000678463,1,1
299,1,1.545033359,1.001460896,1,1
300,1,1.635661153,1.000233933,1,1
301,1,1.632786426,0.998678424,1,1
302,1,1.536899769,0.998936431,1,1
303,1,1.362163353,1.00066148,1,1
304,1,1.134319259,1.001483569,1,1
305,1,0.8868972,1.000265214,1,1
306,1,0.65628028,0.998675247,1,1
307,1,0.476354924,0.998903001,1,1
308,1,0.373531688,1.000643717,1,1
309,1,0.36286858,1.001506031,1,1
310,1,0.445865927,1.000297147,1,1
311,1,0.610255704,0.99867269,1,1
312,1,0.831814842,0.998869305,1,1
313,1,1.077934506,1.000625163,1,1
314,1,1.312419407,1.001528265,1,1
315,1,1.5008108,1.000329732,1,1
316,1,1.61545035,0.998670771,1,1
317,1,1.639540718,0.998835354,1,1
318,1,1.569606715,1.000605809,1,1
319,1,1.415996436,1.001550254,1,1
320,1,1.20135012,1.000362967,1,1
321,1,0.95726329,0.998810607,1,1
322,1,0.719635979,0.99862597,1,1
323,1,0.523392604,1.000003013,1,1
324,1,0.397349099,1.001350082,1,1
325,1,0.359981667,1.00112677,1,1
326,1,0.416718471,0.999611142,1,1
327,1,0.559151231,0.998560913,1,1
328,1,0.766281235,0.999177682,1,1
329,1,1.007615125,1.000732785,1,1
330,1,1.247654064,1.001427402,1,1
331,1,1.451780108,1.000472886,1,1
332,1,1.588846572,0.998985718,1,1
333,1,1.638600177,0.998681858,1,1
334,1,1.593736191,0.999896979,1,1
335,1,1.460970344,1.001233925,1,1
336,1,1.260031877,1.001097864,1,1
337,1,1.020731059,0.999662128,1,1
338,1,0.778537296,0.998635893,1,1
339,1,0.569322501,0.999230276,1,1
