id	document	label
1	통합 하드웨어 및 실차 제작 웜-감속기 토션바 통합 하우징 제작 및 실차 제작	0
2	선진사 제품 B/M 역설계 기술	0
3	웜-감속기 최적 설계 기술	0
4	토션바 설계기술	0
5	유압-전동식 조향 시스템 통합 하우징 설계기술	0
6	요소 부품 통합 설계 및 제작	0
7	TAS 설계 및 제작 개발	1
8	조향각, 조향토크 측정 센서, 기구부 및 PCB 설계 기술	1
9	조향축 연결부 설계 기술	1
10	볼너트 기어박스	2
11	전기버스용 고내구 기어박스 설계기술	2
12	모터,조향축 연결부 설계 기술	2
13	고내구성 확보 평가 기술	2
14	기어박스 설계 및 제작	2
15	마케라 센서 이미지 프로세싱 로직	3
16	카메라 및 ECU	3
17	이미지 프로세싱을 통한 차선 인식 알고리즘 기술	3
18	카메라 및 LKAS ECU H/W 설계 기술	3
19	임베디드 시스템 설계 기술	3
20	카메라, LKAS ECU, 인식 알고리즘 설계 및 제작	3
21	LKAS 제어 로직 개발	4
22	운전자 의도 판단 및 모델기반 LKAS 제어 로직 개발기술	4
23	제어로직 최적화 및 평가	5
24	제어로직 통합 및 최적화 기술	5
25	LKAS 및 조향 성능 평가 기술	5
26	Electric Motor 설계	6
27	인버터 설계 및 제작	6
28	DC/AC 모터설계기술	6
29	모터 사이즈/중량 최적설계기술	6
30	모터 성능/신뢰성 확보 기술	6
31	고효율인버터설계기술	6
32	최적급속방열기술	6
33	모터제어기술	6
34	MDPS 제어 로직 개발 및 MDPS ECU 개발	5
35	조향 보조력 제어 로직 	5
36	로직 최적화 및 평가 기술	5
37	MDPS ECU 설계 및 Tuning 인터페이스 개발 기술	5
38	Fail-safe 로직 개발	7
39	제어 로직 고장안전을 위한 Fail-safe 로직 개발 기술	7
40	모터 및 센서 고장 판단 및 복원 제어 기술 	7
41	신뢰성 및 성능 평가 기술 개발	8
42	조향 시스템 성능 평가 Bench 설계 기술 및 평가 기술	8
43	시제품 신뢰성 평가 기술	8
44	평가 Bench 설계 및 제작. 신뢰성 평가 기술	8
45	HILS 개발 및 평가기술 개발	9
46	제어 로직 성능/신뢰성 평가를 위한 HILS 설계 기술	9
47	제어 로직 고장안전을 위한 	9
48	Fail-safe 로직 평가 Fail-safe 로직 평가	9
49	HILS 이용 로직 평가 기술 	9
50	HILS 설계, 제작 및 로직 평가	9
51	상용차용 전동식 조향시스템 및 HMI Cluster 개발 	0
52	전기버스용 볼-너트 기어박스 컨셉 디자인 설계	2
53	LKAS 용 TAS 사양 선정 및 기본 설계	1
54	LKAS 선행 연구 분석 및 영상센서부, 제어부 설계	3
55	중대형 상용차 조향 시스템용 구동모터 및 인버터 개발	6
56	EILS (ECU In The Loop Simulator) 기반 환경 구축	9
57	중대형 상용차 차선 이탈 방지 로직 개발	4
58	Fail-safe 기반 모터, 센서 고장 허용 제어 로직 설계	7
59	전동식 조향시스템의 웜-샤프트 Ass’y 개발	0
60	과제 개발품 설계 사양 선정을 위한 선진사 제품 벤치마킹	0
61	웜-샤프트 Ass’y (감속기, 샤프트, 하우징) 상세설계 및 금형 개발	0
62	선진사 시스템의 구성 부품에 대한 설계 사양 확인 (사이즈 및 재질)	0
63	웜-샤프트 Ass’y 제작 및 단품 시험	0
64	전동식 조향시스템 조합 단품시험 및 검증	0
