Data,Control
-0.294035713,0
-0.290769525,0
-0.287419489,0
-0.28398657,0
-0.280471759,0
-0.27687607,0
-0.273200539,0
-0.269446226,0
-0.265614214,0
-0.261705607,0
-0.257721533,0
-0.253663142,0
-0.249531602,0
-0.245328106,0
-0.241053865,0
-0.236710112,0
-0.2322981,0
-0.227819102,0
-0.223274407,0
-0.218665328,0
-0.213993194,0
-0.20925935,0
-0.204465164,0
-0.199612016,0
-0.194701307,0
-0.189734453,0
-0.184712886,0
-0.179638054,0
-0.17451142,0
-0.169334463,0
-0.164108675,0
-0.158835564,0
-0.15351665,0
-0.148153468,0
-0.142747562,0
-0.137300493,0
-0.131813832,0
-0.126289159,0
-0.120728069,0
-0.115132165,0
-0.109503061,0
-0.10384238,0
-0.098151754,0
-0.092432824,0
-0.08668724,0
-0.080916658,0
-0.075122743,0
-0.069307165,0
-0.063471601,0
-0.057617733,0
-0.051747251,0
-0.045861847,0
-0.039963217,0
-0.034053064,0
-0.028133091,0
-0.022205005,0
-0.016270516,0
-0.010331335,0
-0.004389174,0
0.001554251,0
0.007497229,0
0.013438045,0
0.019374985,0
0.025306339,0
0.031230395,0
0.037145445,0
0.043049784,0
0.048941708,0
0.05481952,0
0.060681523,0
0.066526028,0
0.072351349,0
0.078155806,0
0.083937726,0
0.089695441,0
0.095427291,0
0.101131622,0
0.106806791,0
0.112451161,0
0.118063103,0
0.123640999,0
0.129183242,0
0.134688233,0
0.140154384,0
0.145580119,0
0.150963874,0
0.156304096,0
0.161599245,0
0.166847794,0
0.17204823,0
0.177199053,0
0.182298778,0
0.187345934,0
0.192339066,0
0.197276733,0
0.202157513,0
0.206979997,0
0.211742795,0
0.216444533,0
0.221083856,0
0.225659426,0
0.230169924,0
0.234614048,0
0.238990517,0
0.243298069,0
0.247535463,0
0.251701475,0
0.255794906,0
0.259814573,0
0.263759319,0
0.267628005,0
0.271419517,0
0.27513276,0
0.278766664,0
0.282320181,0
0.285792287,0
0.289181979,0
0.292488281,0
0.29571024,0
0.298846925,0
0.301897433,0
0.304860884,0
0.307736424,0
0.310523222,0
0.313220476,0
0.315827408,0
0.318343266,0
0.320767324,0
0.323098883,0
0.325337272,0
0.327481845,0
0.329531982,0
0.331487094,0
0.333346616,0
0.335110012,0
0.336776773,0
0.338346419,0
0.339818498,0
0.341192584,0
0.342468282,0
0.343645223,0
0.344723069,0
0.345701508,0
0.346580259,0
0.347359067,0
0.348037709,0
0.348615988,0
0.349093738,0
0.349470821,0
0.349747128,0
0.34992258,0
0.349997127,0
0.349970745,0
0.349843444,0
0.34961526,0
0.349286259,0
0.348856535,0
0.348326212,0
0.347695444,0
0.346964412,0
0.346133328,0
0.34520243,0
0.344171987,0
0.343042297,0
0.341813685,0
0.340486505,0
0.33906114,0
0.337538002,0
0.335917528,0
0.334200188,0
0.332386475,0
0.330476913,0
0.328472053,0
0.326372473,0
0.324178777,0
0.321891599,0
0.319511599,0
0.317039462,0
0.314475902,0
0.311821657,0
0.309077493,0
0.306244202,0
0.3033226,0
0.300313531,0
0.29721786,0
0.294036483,0
0.290770315,0
0.287420298,0
0.283987399,0
0.280472608,0
0.276876938,0
0.273201426,0
0.269447131,0
0.265615137,0
0.261706549,0
0.257722493,0
0.253664119,0
0.249532597,0
0.245329117,0
0.241054893,0
0.236711157,0
0.232299162,0
0.227820179,0
0.2232755,0
0.218666436,0
0.213994316,0
0.209260488,0
0.204466315,0
0.199613182,0
0.194702486,0
0.189735645,0
0.184714091,0
0.179639271,0
0.174512649,0
0.169335704,0
0.164109928,0
0.158836828,0
0.153517925,0
0.148154753,0
0.142748858,0
0.137301798,0
0.131815146,0
0.126290482,0
0.120729401,0
0.115133505,0
0.109504408,0
0.103843735,0
0.098153116,0
0.092434193,0
0.086688615,0
0.080918039,0
0.075124129,0
0.069308555,0
0.063472996,0
0.057619133,0
0.051748654,0
0.045863253,0
0.039964627,0
0.034054476,0
0.028134505,0
0.022206421,0
0.016271933,0
0.010332753,0
0.004390593,0
-0.001552833,0
-0.007495811,0
-0.013436627,0
-0.019373569,0
-0.025304924,0
-0.031228982,0
-0.037144034,0
-0.043048376,0
-0.048940304,0
-0.054818119,0
-0.060680126,0
-0.066524635,0
-0.072349961,0
-0.078154423,0
-0.083936349,0
-0.08969407,0
-0.095425926,0
-0.101130264,0
-0.10680544,0
-0.112449817,0
-0.118061767,0
-0.123639672,0
-0.129181924,0
-0.134686923,0
-0.140153084,0
-0.145578829,0
-0.150962594,0
-0.156302827,0
-0.161597987,0
-0.166846547,0
-0.172046995,0
-0.17719783,0
-0.182297567,0
-0.187344736,0
-0.19233788,0
-0.197275561,0
-0.202156355,0
-0.206978853,0
-0.211741665,0
-0.216443418,0
-0.221082757,0
-0.225658342,0
-0.230168855,0
-0.234612995,0
-0.238989481,0
-0.24329705,0
-0.24753446,0
-0.251700489,0
-0.255793937,0
-0.259813622,0
-0.263758386,0
-0.267627091,0
-0.271418621,0
-0.275131883,0
-0.278765806,0
-0.282319343,0
-0.285791468,0
-0.28918118,0
-0.292487502,0
-0.295709481,0
-0.298846187,0
-0.301896716,0
-0.304860187,0
-0.307735748,0
-0.310522568,0
-0.313219843,0
-0.315826796,0
-0.318342676,0
-0.320766756,0
-0.323098338,0
-0.325336749,0
-0.327481344,0
-0.329531504,0
-0.331486639,0
-0.333346183,0
-0.335109602,0
-0.336776387,0
-0.338346056,0
-0.339818158,0
-0.341192268,0
-0.342467989,0
-0.343644954,0
-0.344722824,0
-0.345701287,0
-0.346580061,0
-0.347358893,0
-0.348037559,0
-0.348615862,0
-0.349093636,0
-0.349470743,0
-0.349747074,0
-0.349922551,0
-0.349997121,0
-0.349970764,0
-0.349843487,0
-0.349615327,0
-0.349286349,0
-0.348856649,0
-0.348326351,0
-0.347695607,0
-0.346964599,0
-0.346133538,0
-0.345202664,0
-0.344172245,0
-0.343042578,0
-0.34181399,0
-0.340486833,0
-0.339061492,0
-0.337538377,0
-0.335917927,0
-0.334200609,0
-0.33238692,0
-0.330477381,0
-0.328472543,0
-0.326372985,0
-0.324179312,0
-0.321892157,0
-0.319512178,0
-0.317040063,0
-0.314476525,0
-0.311822301,0
-0.309078159,0
-0.306244889,0
-0.303323308,0
-0.300314259,0
-0.29721861,0
-0.294037252,0
-0.290771104,0
-0.287421108,0
-0.283988229,0
-0.280473457,0
-0.276877806,0
-0.273202312,0
-0.269448037,0
-0.265616061,0
-0.261707491,0
-0.257723453,0
-0.253665097,0
-0.249533592,0
-0.245330129,0
-0.241055922,0
-0.236712202,0
-0.232300223,0
-0.227821256,0
-0.223276593,0
-0.218667544,0
-0.213995439,0
-0.209261625,0
-0.204467467,0
-0.199614347,0
-0.194703665,0
-0.189736838,0
-0.184715296,0
-0.179640489,0
-0.174513879,0
-0.169336946,0
-0.164111181,0
-0.158838093,0
-0.1535192,0
-0.148156038,0
-0.142750153,0
-0.137303103,0
-0.13181646,0
-0.126291805,0
-0.120730732,0
-0.115134845,0
-0.109505756,0
-0.103845089,0
-0.098154477,0
-0.092435561,0
-0.086689989,0
-0.080919419,0
-0.075125514,0
-0.069309946,0
-0.063474391,0
-0.057620532,0
-0.051750057,0
-0.04586466,0
-0.039966036,0
-0.034055888,0
-0.028135919,0
-0.022207836,0
-0.01627335,0
-0.010334171,0
-0.004392012,0
0.001551414,0
0.007494392,0
0.013435209,0
0.019372152,0
0.025303509,0
0.031227569,0
0.037142624,0
0.043046968,0
0.048938899,0
0.054816717,0
0.060678729,0
0.066523242,0
0.072348573,0
0.07815304,0
0.083934971,0
0.089692698,0
0.095424561,0
0.101128906,0
0.106804089,0
0.112448473,0
0.118060431,0
0.123638345,0
0.129180605,0
0.134685614,0
0.140151784,0
0.145577539,0
0.150961314,0
0.156301557,0
0.161596728,0
0.1668453,0
0.172045759,0
0.177196606,0
0.182296356,0
0.187343537,0
0.192336695,0
0.197274389,0
0.202155196,0
0.206977709,0
0.211740535,0
0.216442303,0
0.221081657,0
0.225657257,0
0.230167786,0
0.234611942,0
0.238988444,0
0.24329603,0
0.247533457,0
0.251699504,0
0.255792969,0
0.259812672,0
0.263757454,0
0.267626177,0
0.271417725,0
0.275131006,0
0.278764948,0
0.282318504,0
0.285790649,0
0.289180381,0
0.292486723,0
0.295708722,0
0.298845448,0
0.301895998,0
0.304859491,0
0.307735072,0
0.310521913,0
0.31321921,0
0.315826185,0
0.318342086,0
0.320766189,0
0.323097792,0
0.325336226,0
0.327480843,0
0.329531026,0
0.331486183,0
0.333345751,0
0.335109193,0
0.336776,0
0.338345693,0
0.339817818,0
0.341191952,0
0.342467697,0
0.343644685,0
0.344722578,0
0.345701065,0
0.346579863,0
0.347358719,0
0.348037408,0
0.348615736,0
0.349093534,0
0.349470665,0
0.34974702,0
0.349922521,0
0.349997115,0
0.349970782,0
0.349843529,0
0.349615393,0
0.34928644,0
0.348856764,0
0.348326489,0
0.347695769,0
0.346964785,0
0.346133748,0
0.345202898,0
0.344172503,0
0.34304286,0
0.341814295,0
0.340487162,0
0.339061844,0
0.337538752,0
0.335918325,0
0.334201031,0
0.332387364,0
0.330477848,0
0.328473033,0
0.326373497,0
0.324179847,0
0.321892714,0
0.319512757,0
0.317040664,0
0.314477147,0
0.311822946,0
0.309078825,0
0.306245576,0
0.303324016,0
0.300314988,0
0.297219359,0
0.294038022,0
0.290771894,0
0.287421917,0
0.283989058,0
0.280474305,0
0.276878674,0
0.273203199,0
0.269448942,0
0.265616985,0
0.261708433,0
0.257724413,0
0.253666074,0
0.249534586,0
0.245331141,0
0.241056951,0
0.236713247,0
0.232301284,0
0.227822333,0
0.223277685,0
0.218668652,0
0.213996562,0
0.209262762,0
0.204468618,0
0.199615512,0
0.194704844,0
0.18973803,0
0.184716501,0
0.179641706,0
0.174515109,0
0.169338188,0
0.164112434,0
0.158839357,0
0.153520475,0
0.148157324,0
0.142751448,0
0.137304408,0
0.131817774,0
0.126293129,0
0.120732064,0
0.115136184,0
0.109507103,0
0.103846444,0
0.098155839,0
0.092436929,0
0.086691364,0
0.080920799,0
0.0751269,0
0.069311337,0
0.063475786,0
0.057621932,0
0.051751461,0
0.045866066,0
0.039967446,0
0.0340573,0
0.028137333,0
0.022209252,0
0.016274767,0
0.010335589,0
0.00439343,0
-0.001549995,0
-0.007492974,0
-0.013433792,0
-0.019370736,0
-0.025302094,0
-0.031226156,0
-0.037141213,0
-0.04304556,0
-0.048937494,0
-0.054815316,0
-0.060677331,0
-0.066521849,0
-0.072347185,0
-0.078151658,0
-0.083933594,0
-0.089691327,0
-0.095423196,0
-0.101127548,0
-0.106802738,0
-0.11244713,0
-0.118059096,0
-0.123637018,0
-0.129179286,0
-0.134684304,0
-0.140150484,0
-0.145576249,0
-0.150960034,0
-0.156300288,0
-0.16159547,0
-0.166844053,0
-0.172044524,0
-0.177195383,0
-0.182295145,0
-0.187342339,0
-0.19233551,0
-0.197273217,0
-0.202154038,0
-0.206976565,0
-0.211739406,0
-0.216441188,0
-0.221080557,0
-0.225656173,0
-0.230166717,0
-0.234610889,0
-0.238987407,0
-0.24329501,0
-0.247532454,0
-0.251698518,0
-0.255792,0
-0.259811721,0
-0.263756521,0
-0.267625262,0
-0.271416829,0
-0.275130129,0
-0.27876409,0
-0.282317665,0
-0.28578983,0
-0.289179582,0
-0.292485944,0
-0.295707963,0
-0.29884471,0
-0.30189528,0
-0.304858794,0
-0.307734396,0
-0.310521258,0
-0.313218577,0
-0.315825574,0
-0.318341497,0
-0.320765621,0
-0.323097247,0
-0.325335703,0
-0.327480342,0
-0.329530548,0
-0.331485728,0
-0.333345318,0
-0.335108783,0
-0.336775614,0
-0.33834533,0
-0.339817479,0
-0.341191635,0
-0.342467404,0
-0.343644416,0
-0.344722333,0
-0.345700843,0
-0.346579665,0
-0.347358545,0
-0.348037258,0
-0.34861561,0
-0.349093432,0
-0.349470587,0
-0.349746967,0
-0.349922491,0
-0.349997109,0
-0.3499708,0
-0.349843572,0
-0.34961546,0
-0.34928653,0
-0.348856878,0
-0.348326628,0
-0.347695932,0
-0.346964972,0
-0.346133959,0
-0.345203132,0
-0.344172761,0
-0.343043141,0
-0.3418146,0
-0.34048749,0
-0.339062196,0
-0.337539127,0
-0.335918724,0
-0.334201452,0
-0.332387808,0
-0.330478315,0
-0.328473523,0
-0.32637401,0
-0.324180382,0
-0.321893271,0
-0.319513336,0
-0.317041265,0
-0.31447777,0
-0.31182359,0
-0.309079491,0
-0.306246263,0
-0.303324724,0
-0.300315717,0
-0.297220108,0
-0.294038791,0
-0.290772684,0
-0.287422727,0
-0.283989887,0
-0.280475154,0
-0.276879541,0
-0.273204086,0
-0.269449848,0
-0.265617909,0
-0.261709375,0
-0.257725373,0
-0.253667052,0
-0.249535581,0
-0.245332153,0
-0.241057979,0
-0.236714292,0
-0.232302345,0
-0.22782341,0
-0.223278778,0
-0.21866976,0
-0.213997684,0
-0.209263899,0
-0.20446977,0
-0.199616678,0
-0.194706023,0
-0.189739222,0
-0.184717706,0
-0.179642924,0
-0.174516339,0
-0.169339429,0
-0.164113688,0
-0.158840621,0
-0.15352175,0
-0.148158609,0
-0.142752744,0
-0.137305713,0
-0.131819089,0
-0.126294452,0
-0.120733396,0
-0.115137524,0
-0.109508451,0
-0.103847799,0
-0.098157201,0
-0.092438298,0
-0.086692738,0
-0.08092218,0
-0.075128286,0
-0.069312727,0
-0.063477182,0
-0.057623331,0
-0.051752864,0
-0.045867473,0
-0.039968855,0
-0.034058712,0
-0.028138747,0
-0.022210668,0
-0.016276184,0
-0.010337007,0
-0.004394849,0
0.001548576,0
0.007491555,0
0.013432374,0
0.019369319,0
0.025300679,0
0.031224742,0
0.037139802,0
0.043044152,0
0.048936089,0
0.054813915,0
0.060675934,0
0.066520457,0
0.072345797,0
0.078150275,0
0.083932217,0
0.089689955,0
0.095421831,0
0.10112619,0
0.106801387,0
0.112445786,0
0.11805776,0
0.12363569,0
0.129177968,0
0.134682995,0
0.140149184,0
0.145574958,0
0.150958754,0
0.156299018,0
0.161594211,0
0.166842806,0
0.172043288,0
0.177194159,0
0.182293934,0
0.18734114,0
0.192334324,0
0.197272046,0
0.20215288,0
0.20697542,0
0.211738276,0
0.216440073,0
0.221079457,0
0.225655088,0
0.230165648,0
0.234609836,0
0.238986371,0
0.24329399,0
0.247531451,0
0.251697532,0
0.255791032,0
0.259810771,0
0.263755588,0
0.267624348,0
0.271415934,0
0.275129252,0
0.278763232,0
0.282316827,0
0.285789011,0
0.289178782,0
0.292485165,0
0.295707204,0
0.298843971,0
0.301894562,0
0.304858097,0
0.30773372,0
0.310520604,0
0.313217944,0
0.315824962,0
0.318340907,0
0.320765053,0
0.323096702,0
0.32533518,0
0.327479842,0
0.32953007,0
0.331485273,0
0.333344886,0
0.335108374,0
0.336775228,0
0.338344967,0
0.339817139,0
0.341191319,0
0.342467111,0
0.343644147,0
0.344722087,0
0.345700622,0
0.346579467,0
0.347358371,0
0.348037108,0
0.348615484,0
0.34909333,0
0.349470509,0
0.349746913,0
0.349922461,0
0.349997104,0
0.349970819,0
0.349843614,0
0.349615526,0
0.349286621,0
0.348856993,0
0.348326767,0
0.347696094,0
0.346965158,0
0.346134169,0
0.345203366,0
0.344173019,0
0.343043423,0
0.341814905,0
0.340487819,0
0.339062548,0
0.337539502,0
0.335919122,0
0.334201874,0
0.332388253,0
0.330478782,0
0.328474013,0
0.326374522,0
0.324180916,0
0.321893828,0
0.319513916,0
0.317041866,0
0.314478393,0
0.311824234,0
0.309080156,0
0.30624695,0
0.303325432,0
0.300316445,0
0.297220857,0
0.294039561,0
0.290773473,0
0.287423536,0
0.283990716,0
0.280476003,0
0.276880409,0
0.273204973,0
0.269450753,0
0.265618833,0
0.261710317,0
0.257726333,0
0.253668029,0
0.249536576,0
0.245333165,0
0.241059008,0
0.236715338,0
0.232303406,0
0.227824487,0
0.22327987,0
0.218670867,0
0.213998807,0
0.209265037,0
0.204470921,0
0.199617843,0
0.194707202,0
0.189740414,0
0.184718911,0
0.179644142,0
0.174517569,0
0.169340671,0
0.164114941,0
0.158841885,0
0.153523025,0
0.148159894,0
0.142754039,0
0.137307018,0
0.131820403,0
0.126295775,0
0.120734727,0
0.115138864,0
0.109509799,0
0.103849154,0
0.098158563,0
0.092439666,0
0.086694113,0
0.08092356,0
0.075129671,0
0.069314118,0
0.063478577,0
0.05762473,0
0.051754267,0
0.045868879,0
0.039970265,0
0.034060124,0
0.028140161,0
0.022212084,0
0.016277602,0
0.010338425,0
0.004396268,0
-0.001547158,0
-0.007490137,0
-0.013430956,0
-0.019367902,0
-0.025299264,0
-0.031223329,0
-0.037138391,0
-0.043042744,0
-0.048934684,0
-0.054812514,0
-0.060674537,0
-0.066519064,0
-0.072344408,0
-0.078148892,0
-0.083930839,0
-0.089688584,0
-0.095420466,0
-0.101124831,0
-0.106800036,0
-0.112444443,0
-0.118056425,0
-0.123634363,0
-0.129176649,0
-0.134681685,0
-0.140147884,0
-0.145573668,0
-0.150957474,0
-0.156297749,0
-0.161592953,0
-0.166841558,0
-0.172042053,0
-0.177192936,0
-0.182292723,0
-0.187339942,0
-0.192333139,0
-0.197270874,0
-0.202151722,0
-0.206974276,0
-0.211737146,0
-0.216438959,0
-0.221078357,0
-0.225654004,0
-0.23016458,0
-0.234608784,0
-0.238985334,0
-0.24329297,0
-0.247530448,0
-0.251696546,0
-0.255790064,0
-0.25980982,0
-0.263754656,0
-0.267623434,0
-0.271415038,0
-0.275128375,0
-0.278762375,0
-0.282315988,0
-0.285788192,0
-0.289177983,0
-0.292484385,0
-0.295706445,0
-0.298843233,0
-0.301893844,0
-0.3048574,0
-0.307733044,0
-0.310519949,0
-0.313217311,0
-0.315824351,0
-0.318340317,0
-0.320764486,0
-0.323096156,0
-0.325334656,0
-0.327479341,0
-0.329529592,0
-0.331484817,0
-0.333344454,0
-0.335107964,0
-0.336774842,0
-0.338344604,0
-0.339816799,0
-0.341191003,0
-0.342466818,0
-0.343643878,0
-0.344721842,0
-0.3457004,0
-0.346579269,0
-0.347358197,0
-0.348036958,0
-0.348615357,0
-0.349093228,0
-0.349470431,0
-0.349746859,0
-0.349922431,0
-0.349997098,0
-0.349970837,0
-0.349843656,0
-0.349615593,0
-0.349286711,0
-0.348857108,0
-0.348326905,0
-0.347696257,0
-0.346965345,0
-0.346134379,0
-0.3452036,0
-0.344173276,0
-0.343043704,0
-0.34181521,0
-0.340488147,0
-0.3390629,0
-0.337539878,0
-0.33591952,0
-0.334202295,0
-0.332388697,0
-0.330479249,0
-0.328474503,0
-0.326375035,0
-0.324181451,0
-0.321894385,0
-0.319514495,0
-0.317042467,0
-0.314479016,0
-0.311824879,0
-0.309080822,0
-0.306247637,0
-0.30332614,0
-0.300317174,0
-0.297221607,0
-0.29404033,0
-0.290774263,0
-0.287424346,0
-0.283991546,0
-0.280476851,0
-0.276881277,0
-0.27320586,0
-0.269451659,0
-0.265619757,0
-0.261711259,0
-0.257727293,0
-0.253669007,0
-0.249537571,0
-0.245334177,0
-0.241060036,0
-0.236716383,0
-0.232304468,0
-0.227825564,0
-0.223280963,0
-0.218671975,0
-0.21399993,0
-0.209266174,0
-0.204472073,0
-0.199619009,0
-0.194708381,0
-0.189741606,0
-0.184720116,0
-0.179645359,0
-0.174518799,0
-0.169341912,0
-0.164116194,0
-0.15884315,0
-0.1535243,0
-0.14816118,0
-0.142755335,0
-0.137308323,0
-0.131821717,0
-0.126297098,0
-0.120736059,0
-0.115140204,0
-0.109511146,0
-0.103850509,0
-0.098159925,0
-0.092441035,0
-0.086695487,0
-0.08092494,0
-0.075131057,0
-0.069315509,0
-0.063479972,0
-0.05762613,0
-0.05175567,0
-0.045870286,0
-0.039971674,0
-0.034061536,0
-0.028141575,0
-0.0222135,0
-0.016279019,0
-0.010339843,0
-0.004397686,0
0.001545739,0
0.007488718,0
0.013429538,0
0.019366486,0
0.025297849,0
0.031221916,0
0.037136981,0
0.043041336,0
0.04893328,0
0.054811112,0
0.06067314,0
0.066517671,0
0.07234302,0
0.078147509,0
0.083929462,0
0.089687213,0
0.095419101,0
0.101123473,0
0.106798685,0
0.112443099,0
0.118055089,0
0.123633036,0
0.129175331,0
0.134680376,0
0.140146584,0
0.145572378,0
0.150956194,0
0.156296479,0
0.161591694,0
0.166840311,0
0.172040817,0
0.177191712,0
0.182291511,0
0.187338744,0
0.192331954,0
0.197269702,0
0.202150564,0
0.206973132,0
0.211736017,0
0.216437844,0
0.221077257,0
0.225652919,0
0.230163511,0
0.234607731,0
0.238984298,0
0.24329195,0
0.247529445,0
0.25169556,0
0.255789095,0
0.259808869,0
0.263753723,0
0.267622519,0
0.271414142,0
0.275127498,0
0.278761517,0
0.28231515,0
0.285787372,0
0.289177184,0
0.292483606,0
0.295705686,0
0.298842494,0
0.301893126,0
0.304856703,0
0.307732369,0
0.310519295,0
0.313216678,0
0.315823739,0
0.318339728,0
0.320763918,0
0.323095611,0
0.325334133,0
0.32747884,0
0.329529114,0
0.331484362,0
0.333344021,0
0.335107555,0
0.336774455,0
0.338344241,0
0.33981646,0
0.341190686,0
0.342466525,0
0.343643609,0
0.344721596,0
0.345700178,0
0.346579072,0
0.347358023,0
0.348036808,0
0.348615231,0
0.349093125,0
0.349470353,0
0.349746805,0
0.349922401,0
0.349997092,0
0.349970855,0
0.349843699,0
0.349615659,0
0.349286802,0
0.348857222,0
0.348327044,0
0.347696419,0
0.346965531,0
0.34613459,0
0.345203834,0
0.344173534,0
0.343043986,0
0.341815515,0
0.340488476,0
0.339063252,0
0.337540253,0
0.335919919,0
0.334202716,0
0.332389141,0
0.330479717,0
0.328474992,0
0.326375547,0
0.324181986,0
0.321894942,0
0.319515074,0
0.317043068,0
0.314479638,0
0.311825523,0
0.309081488,0
0.306248323,0
0.303326848,0
0.300317902,0
0.297222356,0
0.2940411,0
0.290775053,0
0.287425156,0
0.283992375,0
0.2804777,0
0.276882145,0
0.273206746,0
0.269452564,0
0.265620681,0
0.261712201,0
0.257728253,0
0.253669984,0
0.249538566,0
0.245335189,0
0.241061065,0
0.236717428,0
0.232305529,0
0.227826641,0
0.223282055,0
0.218673083,0
0.214001052,0
0.209267311,0
0.204473224,0
0.199620174,0
0.19470956,0
0.189742798,0
0.184721321,0
0.179646577,0
0.174520028,0
0.169343154,0
0.164117447,0
0.158844414,0
0.153525575,0
0.148162465,0
0.14275663,0
0.137309628,0
0.131823032,0
0.126298421,0
0.120737391,0
0.115141544,0
0.109512494,0
0.103851864,0
0.098161287,0
0.092442403,0
0.086696862,0
0.080926321,0
0.075132443,0
0.069316899,0
0.063481367,0
0.057627529,0
0.051757073,0
0.045871692,0
0.039973084,0
0.034062948,0
0.02814299,0
0.022214916,0
0.016280436,0
0.010341262,0
0.004399105,0
-0.00154432,0
-0.0074873,0
-0.013428121,0
-0.019365069,0
-0.025296434,0
-0.031220503,0
-0.03713557,0
-0.043039928,0
-0.048931875,0
-0.054809711,0
-0.060671742,0
-0.066516278,0
-0.072341632,0
-0.078146126,0
-0.083928085,0
-0.089685841,0
-0.095417736,0
-0.101122115,0
-0.106797334,0
-0.112441756,0
-0.118053753,0
-0.123631708,0
-0.129174012,0
-0.134679066,0
-0.140145284,0
-0.145571088,0
-0.150954914,0
-0.15629521,0
-0.161590436,0
-0.166839064,0
-0.172039582,0
-0.177190489,0
-0.1822903,0
-0.187337545,0
-0.192330768,0
-0.19726853,0
-0.202149405,0
-0.206971988,0
-0.211734887,0
-0.216436729,0
-0.221076157,0
-0.225651835,0
-0.230162442,0
-0.234606678,0
-0.238983261,0
-0.24329093,0
-0.247528442,0
-0.251694574,0
-0.255788127,0
-0.259807919,0
-0.263752791,0
-0.267621605,0
-0.271413246,0
-0.275126621,0
-0.278760659,0
-0.282314311,0
-0.285786553,0
-0.289176385,0
-0.292482827,0
-0.295704927,0
-0.298841756,0
-0.301892409,0
-0.304856006,0
-0.307731693,0
-0.31051864,0
-0.313216044,0
-0.315823128,0
-0.318339138,0
-0.32076335,0
-0.323095065,0
-0.32533361,0
-0.32747834,0
-0.329528636,0
