Input,LGNoise,HPF(1),LPF(2),Kal(3),HPFKal(13),LPFKal(23),EKF(4),Control
-0.294035713,-0.294035713,-1.905645457,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.290769525,-0.290419525,-1.690025304,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.287419489,-0.286719489,-1.4957715,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.28398657,-0.282936572,-1.320721676,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.280471759,-0.279071763,-1.162933055,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.27687607,-0.275126077,-1.020660163,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.273200539,-0.271100551,-0.892334801,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.269446226,-0.266996246,-0.77654806,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.265614214,-0.262814243,-0.672034147,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.261705607,-0.25855565,-0.577655865,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.257721533,-0.254221592,-0.492391556,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.253663142,-0.249813219,-0.415323377,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.249531602,-0.245331703,-0.345626761,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.245328106,-0.240778234,-0.282560952,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.241053865,-0.236154025,-0.225460491,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.236710112,-0.231460309,-0.173727581,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.2322981,-0.226698339,-0.126825211,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.227819102,-0.221869388,-0.08427099,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.223274407,-0.216974748,-0.045631599,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.218665328,-0.212015728,-0.010517809,-1.739937156,-1.521944394,-0.174189237,-0.267329472,-0.267329472,1
-0.213993194,-0.20699366,0.021419993,-0.708511798,-0.8649386,-0.233958537,-0.238432096,-0.238432096,1
-0.20925935,-0.201909891,0.050495831,-0.708511798,-0.8649386,-0.233958537,-0.238432096,-0.238432096,1
-0.204465164,-0.196765785,0.07699175,-0.708511798,-0.8649386,-0.233958537,-0.238432096,-0.238432096,1
-0.199612016,-0.191562726,0.101161066,-0.708511798,-0.8649386,-0.233958537,-0.238432096,-0.238432096,1
-0.194701307,-0.186302114,0.123231284,-0.708511798,-0.8649386,-0.233958537,-0.238432096,-0.238432096,1
