Sensor_A,Control
0.041018,10
0.0348182,10
0.0286184,10
0.0224186,10
0.0162188,10
0.010019,10
0.0038192,10
-0.0023806,10
-0.0085804,10
-0.0147802,10
-0.02098,10
-0.0178559,10
-0.0147318,10
-0.0116077,10
-0.0084836,10
-0.0053595,10
-0.0022354,10
0.0008887,10
0.0040128,10
0.0071369,10
0.010261,10
0.0099711,10
0.0096812,10
0.0093913,10
0.0091014,10
0.0088115,10
0.0085216,10
0.0082317,10
0.0079418,10
0.0076519,10
0.007362,10
0.0354141,10
0.0634662,10
0.0915183,10
0.1195704,10
0.1476225,10
0.1756746,10
0.2037267,10
0.2317788,10
0.2598309,10
0.287883,10
0.2943405,10
0.300798,10
0.3072555,10
0.313713,10
0.3201705,10
0.326628,10
0.3330855,10
0.339543,10
0.3460005,10
0.352458,10
0.3511053,10
0.3497526,10
0.3483999,10
0.3470472,10
0.3456945,10
0.3443418,10
0.3429891,10
0.3416364,10
0.3402837,10
0.338931,10
0.3128274,10
0.2867238,10
0.2606202,10
0.2345166,10
0.208413,10
0.1823094,10
0.1562058,10
0.1301022,10
0.1039986,10
0.077895,10
0.0985879,10
0.1192808,10
0.1399737,10
0.1606666,10
0.1813595,10
0.2020524,10
0.2227453,10
0.2434382,10
0.2641311,10
0.284824,10
0.2652583,10
0.2456926,10
0.2261269,10
0.2065612,10
0.1869955,10
0.1674298,10
0.1478641,10
0.1282984,10
0.1087327,10
0.089167,10
0.0921462,10
0.0951254,10
0.0981046,10
0.1010838,10
0.104063,10
0.1070422,10
0.1100214,10
0.1130006,10
0.1159798,10
0.118959,10
0.1369143,10
0.1548696,10
0.1728249,10
0.1907802,10
0.2087355,10
0.2266908,10
0.2446461,10
0.2626014,10
0.2805567,10
0.298512,10
0.2724567,10
0.2464014,10
0.2203461,10
0.1942908,10
0.1682355,10
0.1421802,10
0.1161249,10
0.0900696,10
0.0640143,10
0.037959,10
0.0623556,10
0.0867522,10
0.1111488,10
0.1355454,10
0.159942,10
0.1843386,10
0.2087352,10
0.2331318,10
0.2575284,10
0.281925,10
0.2599922,10
0.2380594,10
0.2161266,10
0.1941938,10
0.172261,10
0.1503282,10
0.1283954,10
0.1064626,10
0.0845298,10
0.062597,10
0.0668,10
0.071003,10
0.075206,10
0.079409,10
0.083612,10
0.087815,10
0.092018,10
0.096221,10
0.100424,10
0.104627,10
0.1125981,10
0.1205692,10
0.1285403,10
0.1365114,10
0.1444825,10
0.1524536,10
0.1604247,10
0.1683958,10
